"Nu México: Tu tarjeta terminación 4892 fue usada por $1,200 en LIVERPOOL el 21/04/2026.",ham
HSBC: Tu domiciliación de $699 para Spotify fue procesada. Próximo cargo: 21 de mayo.,ham
Clip: Recibiste un pago de $350 de MARIA LOPEZ. Ya está disponible en tu cuenta Clip.,ham
"IMSS: Recordatorio cita médica Dr. Ramírez, 23 de abril 10:30am, UMF 47. Llega 15 min antes.",ham
Hospital Ángeles: Tu cita con Dr. García el 25/04 a las 11am está confirmada. Trae estudios previos.,ham
Laboratorio Médico: Tus resultados de análisis #LM-293847 están listos. Recógelos en recepción.,ham
Dentalia: Recordatorio: cita con Dr. Hernández mañana jueves 24 de abril a las 5pm. Sucursal Polanco.,ham
Farmacia Benavides: Tu pedido de medicamentos #FB-9283 está listo para recoger. Vigencia 24hrs.,ham
Uber: Tu viaje del 21 de abril de Insurgentes a Aeropuerto CDMX costó $287. Califica a tu conductor.,ham
"Airbnb: Confirmación de reserva en Guadalajara, 3-5 mayo. Folio AIR-MX-293847. Check-in 3pm.",ham
VivaAerobus: Tu vuelo VB-291 GDL-MTY el 30 de abril está confirmado. Asiento 14A. Check-in abre 24hrs antes.,ham
Aeromexico: Boarding pass listo para AM-492 CDMX-CUN 25 abril. Descárgalo en aeromexico.com/checkin,ham
Telcel: Tu recarga de $100 fue aplicada exitosamente. Saldo actual: $108.50. Vigencia 30 días.,ham
Telcel: Activa hoy tu paquete Amigo Sin Límite 80 y navega sin parar. Llama al *133# ahora.,spam
OXXO: Esta semana 2x1 en todas las bebidas energéticas. Solo en tiendas participantes.,spam
Liverpool: Cyber Monday llegó antes! 30% en electrónica solo hoy. Entra a liverpool.com.mx,spam
Coppel: Estrena esta temporada con 20% de descuento en ropa de dama. Solo por hoy.,spam
Telcel: Renueva tu equipo con 0% de intereses. Nuevos modelos iPhone y Samsung disponibles.,spam
Soriana: Martes de frescura: pollo a $49/kg y jitomate a $19/kg. Solo en tiendas físicas.,spam
Cinépolis: Este fin de semana 2x1 en boletos para cualquier función. Usa código CINE2X1.,spam
MercadoLibre: Ofertas del día solo para ti: hasta 60% en electrónica. Entra antes que se agoten.,spam
Spotify: Regresa a Premium por solo $29 el primer mes. Oferta exclusiva por tiempo limitado.,spam
Amazon: Como cliente frecuente tienes acceso anticipado a nuestras ofertas de primavera.,spam
BBVA: Detectamos acceso no autorizado. Verifica tu cuenta urgente: bit.ly/bbva-seguro-mx,spam
"SAT México: Tiene un reembolso pendiente de $3,200. Reclámelo antes del 30 de abril: sat-reembolso.net",spam
Tus puntos Tetcel (3.237) vencen hoy. Canjéalos antes que caduquen: ln.run/WBPgr,spam
BANORTE: Su tarjeta fue suspendida por actividad inusual. Reactívela en: banorte-seguro.com,spam
"Ganaste un premio de $15,000 pesos en el sorteo Telcel. Reclama llamando al 800-555-2938.",spam
IMSS: Su número de afiliación será cancelado. Actualice sus datos: imss-afiliacion.mx,spam
Correos México: Su paquete no pudo entregarse. Reprograme en: correos-mx.net/reprogramar,spam
CFE: Adeudo detectado en su cuenta. Evite corte de luz pagando en: cfe-pagos.com/urgente,spam
Steam: Usa el código VW54C para cambiar las credenciales de tu cuenta.,spam
[TecIe] Sus 9688 psuntos vencen el 21 enero. Canjéelos: https://bit.ly/3NDDX3A,spam
"Hola! Te ofrezco clases de inglés en línea, grupos pequeños, precio especial este mes. ¿Te interesa?",spam
"Buenos días! Tenemos tamales de rajas, verdes y dulces. Pedidos al WhatsApp 5591234567.",spam
Has escuchado de las nuevas cartas de amor invisibles en Mercado Libre? Las tengo a mejor precio.,spam
"Hola, vendo ropa de marca a mitad de precio, todo nuevo con etiqueta. Mándame mensaje si gustas.",spam
"Buenas tardes, ofrezco servicio de limpieza de hogar, precios accesibles, referencias disponibles.",spam
"Soy distribuidora independiente de Herbalife, ¿te gustaría saber más sobre nuestros productos?",spam
Hola! Inversión segura con rendimientos del 20% mensual. Solo 10 lugares disponibles. Escríbeme.,spam
Tengo boletos para el concierto de Peso Pluma a mitad de precio. Son originales. ¿Te interesan?,spam
"Buen día, ofrezco préstamos personales sin buró de crédito. Depósito en 24hrs. ¿Necesitas?",spam
Hola! Gana dinero desde casa vendiendo productos naturales. Sin inversión inicial. ¿Te cuento?,spam
MasVision: Aprovecha 50% en armazones esta semana. Terminos: mvm.news/abc123,spam
BAurrera: Solo hoy envio sin costo a partir de $99. Entra: acs1.tc/promo,spam
"Telcel: Mantente conectado, compra un paquete nuevo desde aqui: pay.telcel.com/dp1",spam
Elektra: Lleva hoy tu nueva pantalla 55 pulgadas con 18 meses sin intereses. Solo en tienda.,spam
"Bodega Aurrera: Feria del ahorro esta semana, hasta 40% en abarrotes seleccionados.",spam
HSBC: Tienes puntos por vencer. Canjéalos antes del 30 de abril en hsbc.com.mx/puntos,spam
"Hola soy Karla, asesora de seguros. ¿Te interesa cotizar un seguro de vida? Sin compromiso.",spam
Buenas! Vendo miel de abeja pura directo del productor. Kilo a $120. ¿Te mando más info?,spam
Rappi: Esta semana 30% de descuento en tu primera orden de farmacia. Código: FARMA30,spam
DiDi: Tienes un cupón de $50 esperándote. Úsalo en tu próximo viaje antes del domingo.,spam
Urgente: su CURP fue utilizada para tramite ilegal. Verifique: curp-urgente.com,spam
Movistar: su linea sera suspendida por falta de pago: bit.ly/movistar-pago,spam
AT&T: tiene facturas pendientes. Evite suspension: att-mx-pagos.com,spam
Hola buen dia como te fue en el examen de ayer,ham
Ya pague el predial guardo el comprobante por si acaso,ham
La vecina dice que mañana hay corte de agua todo el dia,ham
Oye me prestas tus apuntes de calculo para el fin de semana,ham
Tu inscripcion al taller de cocina esta confirmada el sabado,ham
El niño ya se tomo el medicamento y esta mejor gracias,ham
Mañana es el dia del maestro no olvides el detalle,ham
Ya llego el técnico a revisar el internet tarda como una hora,ham
Los gatos ronronean a una frecuencia que podría curar las enfermedades de los huesos,ham
Sabías que los pulpos tienen tres corazones y su sangre es de color azul?,ham
Dato curioso: Las abejas pueden reconocer rostros humanos.,ham
Oye acabo de leer que el agua caliente se congela más rápido que la fría. Qué loco!,ham
El aguacate es una fruta no una verdura. Te lo juro lo acabo de buscar.,ham
¿Sabías que un día en Venus es más largo que un año en Venus?,ham
Te paso un dato inútil: los osos polares son zurdos.,ham
El cerebro humano genera suficiente electricidad para encender un foco pequeño.,ham
Dicen que comer chocolate negro ayuda a mejorar la memoria y prevenir enfermedades.,ham
Dato del día: las manzanas te despiertan más por la mañana que una taza de café.,ham
Las vacas tienen mejores amigas y se estresan mucho si las separan.,ham
Me acabo de enterar que las pirámides de Egipto se construyeron cuando aún había mamuts.,ham
El corazón de un camarón está en su cabeza. ¡Increíble!,ham
Sabías que los delfines se ponen nombres entre ellos mediante silbidos únicos?,ham
Te imaginas? Si pudieras conducir tu auto hacia arriba llegarías al espacio en una hora.,ham
Dicen que reír por 10 minutos al día fortalece el sistema inmunológico.,ham
Oye leí un artículo sobre cómo los perros pueden detectar bajones de azúcar en la sangre.,ham
Sabías que las medusas no tienen cerebro ni corazón?,ham
Un dato que te va a volar la cabeza: hay más estrellas en el universo que granos de arena en la Tierra.,ham
Los perezosos pueden aguantar la respiración bajo el agua más tiempo que los delfines.,ham
Recuerda que el lunes es dia feriado no hay transporte,ham
Tu solicitud de cambio de turno fue autorizada desde el lunes,ham
El gimnasio estara cerrado el domingo por mantenimiento,ham
Ya saque turno en el banco es el jueves a las 11am,ham
La presentacion del martes es en el auditorio no en el salon,ham
Mañana traen el colchon que pediste en la mañana estate,ham
Tu expediente escolar ya esta listo puedes pasar a recogerlo,ham
Se necesita voluntario para el evento del sabado avisame,ham
El taller mecanico dice que tu carro queda listo el viernes,ham
Ya confirme la reservacion del hotel para las vacaciones,ham
Oye se me olvido avisarte que el miercoles no hay agua,ham
Tu beca fue renovada para el siguiente semestre felicidades,ham
mensaje,etiqueta
Usar 554220 como código de seguridad de la cuenta de Microsoft,ham
Usar 735898 como código de seguridad de la cuenta de Microsoft,ham
Usar 750480 como código de restablecimiento de la contraseña de la cuenta de Microsoft,ham
Amazon: 163012. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/9G5gwnu4k,ham
Amazon: 059847. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/KlRyrqMtl,ham
Usar 829304 como código de seguridad de la cuenta de Microsoft,ham
Usar 112938 como código de restablecimiento de la contraseña de la cuenta de Microsoft,ham
Amazon: 738291. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/Xp3mQnR2w,ham
Amazon: 920384. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/Lk8vBzT5y,ham
Tu código de Microsoft es 482910. Úsalo en los próximos 30 minutos.,ham
Microsoft: usa 738201 para verificar tu identidad. No lo compartas con nadie.,ham
Código de verificación de Microsoft: 293847. Expira en 10 minutos.,ham
Tu código de seguridad de Microsoft es 847362. Si no lo solicitaste ignora este mensaje.,ham
Código de acceso de Amazon: 728391. Introdúcelo en la app para continuar.,ham
Amazon: tu código de verificación es 938271. Válido por 15 minutos.,ham
Tu código de inicio de sesión de Amazon es 483920. No lo compartas.,ham
Google: tu código de verificación es 829374. No lo compartas con nadie.,ham
G-482910: tu código de verificación de Google. No lo compartas.,ham
G-738291: código de verificación de Google. Válido por 10 minutos.,ham
Tu código de verificación de WhatsApp es 482-910. No lo compartas.,ham
WhatsApp: tu código es 738-291. Alternativa: wa.me/938475829,ham
WhatsApp: 293-847. No lo compartas con nadie.,ham
Tu código de verificación de Instagram es 482910.,ham
Facebook: usa el código 738291 para iniciar sesión.,ham
Código de acceso de Mercado Libre: 829374. Ingresa en la app.,ham
MercadoLibre: tu código de verificación es 483920. Expira en 5 minutos.,ham
Tu código de Mercado Pago es 293847. No lo compartas con nadie.,ham
BBVA: tu token para autorizar la operación es 483920. Válido 2 minutos.,ham
Banorte: código de verificación 738291 para confirmar tu operación. No lo compartas.,ham
Nu: tu código para ingresar es 829374. Si no lo solicitaste bloquea tu tarjeta en la app.,ham
Spotify: usa el código 483920 para verificar tu correo electrónico.,ham
Netflix: tu código de acceso temporal es 293847. Úsalo en los próximos 30 minutos.,ham
Uber: tu código de verificación es 728391. Nunca te pediremos este código por llamada.,ham
DiDi: tu código de verificación es 829374. No lo compartas con nadie.,ham
Discord: tu código de verificación es 482910. Expira en 10 minutos.,ham
Tu código de verificación de TikTok es 738291. Válido por 5 minutos.,ham
Steam Guard: tu código de acceso es XB3M9. Úsalo en los próximos 30 minutos.,ham
Steam Guard: código de acceso para tu cuenta: KV7NQ. No lo compartas.,ham
Tu código de verificación de Rappi es 293847. Úsalo antes de que expire.,ham
Coinbase: tu código de verificación es 829374. Nunca lo compartas con soporte.,ham
La reunion del condominio se pospuso para el siguiente mes,ham
Recuerda llevar tu comprobante de domicilio para el tramite,ham
El profe dijo que el proyecto puede entregarse el lunes,ham
Ya llego tu pedido de mercado libre esta en la puerta,ham
Mañana es la graduacion recuerda llegar media hora antes,ham
Ganaste un SmartTV 55 pulgadas en sorteo Elektra. Reclama: elektra-premio.com,spam
INFONAVIT: su credito fue cancelado por error. Reactívelo: infonavit-reactiva.net,spam
Alerta PayPal: cuenta limitada por actividad inusual. Verifica: bit.ly/paypal-mx,spam
Su poliza de seguro Qualitas tiene un reembolso pendiente: qualitas-reembolso.com,spam
Reciba dinero por ver anuncios desde su celular: gana-viendo-mx.com,spam
FONDO PENSIONES: tiene $45000 no reclamados. Retírelos: fondo-pension-mx.net,spam
Banco HSBC: su cuenta corriente fue bloqueada. Desbloquee: bit.ly/hsbc-desbloqueo,spam
Su hijo fue reportado en lista negra escolar. Verifique: lista-negra-sep.com,spam
Oferta: compre 2 colchones y llevese 1 gratis hoy: colchones-mx.com/oferta,spam
Premio Navideño Chedraui: gano canasta de $8000. Reclame: chedraui-navidad.com,spam
Alerta migracion: su pasaporte fue usado en otro pais. Reporte: pasaporte-alerta.com,spam
ISSSTE: su pension mensual tiene un incremento pendiente: issste-pension.net,spam
Recupere su dinero perdido en inversiones con nuestra ayuda: recupera-inversion.com,spam
Su cuenta de iCloud fue comprometida. Asegurela: bit.ly/icloud-mx,spam
Notificacion SEP: su cedula profesional tiene observaciones: sep-cedula.com,spam
Gane premios jugando desde su celular. Descargue: juega-gana-mx.com,spam
IMSS: cambio de clinica familiar autorizado. Confirme: bit.ly/imss-clinica,spam
Su propiedad aparece en demanda judicial. Consulte: demanda-mx.net,spam
Bimbo: participe en nuestro concurso y gane $20000: bimbo-concurso.com,spam
Alerta: detectamos intento de robo de identidad a su nombre: bit.ly/robo-identidad,spam
Oye ya llego la pizza estamos esperandote baja,ham
