mensaje,etiqueta
Cinepolis: Gano 4 boletos gratis. Reclame antes de 24hrs: cinepolis-premios.com,spam
Su numero participo en rifa IMSS. Gano $15000. Confirme datos: bit.ly/imss-rifa,spam
Bancomer: Detectamos compra no reconocida de $4500. Cancele: bit.ly/bancomer,spam
Alerta SAT: Declaracion anual pendiente con multa. Regularice: sat-declaracion.com,spam
Hola como estas?,ham
Mañana es la junta a las 10am en la sala 3,ham
Tu codigo de verificacion de WhatsApp es 847291,ham
Ma ya llegue a casa cualquier cosa me marcas,ham
Recordatorio cita dental el jueves 20 a las 4pm,ham
Tu pedido 38291 ha sido enviado. Llega en 3-5 dias habiles,ham
Ya viste el partido? Estuvo increible,ham
Comprobante de pago OXXO $350 recibidos correctamente,ham
Pasas por mi al rato o como le hacemos,ham
El doctor dijo que todo esta bien no te preocupes,ham
Junta cancelada para hoy la reagendamos para el lunes,ham
Oye se me olvido decirte que el miercoles no voy a poder,ham
Tu reservacion en el restaurante esta confirmada para las 8pm,ham
Gracias por tu compra en Farmacias del Ahorro ticket 00234,ham
El profe dijo que el examen es el martes no el miercoles,ham
Ya subi las fotos al grupo de WhatsApp checalas,ham
Nos vemos en la tarde en el mismo lugar de siempre,ham
La tarea es del capitulo 3 al 5 para el viernes,ham
Oye ya llegaron los de mudanzas avisame cuando puedas,ham
Tu cita en el IMSS es el lunes 14 a las 9am en modulo 4,ham
Banco Azteca: Su prestamo personal fue depositado exitosamente,ham
Claro: Su recarga de $100 fue aplicada correctamente,ham
Telcel: Su paquete de datos de 5GB fue activado con exito,ham
Ya pague la renta te mando el comprobante por WhatsApp,ham
El vuelo sale a las 6am no olvides llegar 2 horas antes,ham
Confirma tu asistencia a la boda antes del 30 de noviembre,ham
Mañana no hay clases por el dia del maestro,ham
Tu solicitud de beca fue aprobada pasa a recoger documentos,ham
El gas ya llego te dejo el recibo en la mesa,ham
Aviso vecinos: mantenimiento de elevador el sabado de 9 a 12,ham
Recupera tu cuenta bancaria bloqueada: bit.ly/recupera-cuenta,spam
IMSS informa: tienes una incapacidad pendiente de cobro. Ingresa: imss-cobro.com,spam
Aviso Banorte: se ha realizado un cargo de $8500. Cancelalo: bit.ly/banorte-cargo,spam
Has sido seleccionado para recibir apoyo gobierno $4500. Registrate: apoyos-mx.com,spam
Tu cuenta BBVA tiene un beneficio especial. Activalo: bit.ly/bbva-beneficio,spam
Alerta Citibanamex: acceso desde dispositivo desconocido. Verifica: citi-mx.com,spam
Gana dinero desde casa facil y rapido. Registrate gratis: gana-mx.net,spam
Urgente: su seguro de vida vence hoy. Renovelo: seguros-mx.com/renovar,spam
PEMEX: tiene un bono de empleado pendiente. Reclame: pemex-bonos.com,spam
Telcel le regala 10GB por su lealtad. Active: telcel-regalo.net,spam
Your Discord security code is: 127769,ham
Your Discord security code is: 839201,ham
Steam: Use code H3TB4 to change credentials for your account,ham
Steam: Use code 5C3MN to change credentials for your account,ham
Steam: Use code XBMVV to change credentials for your account,ham
Use verification code 982302 for Microsoft authentication.,ham
Use verification code 112233 for Microsoft authentication.,ham
Su código es: 94400. Gracias.,ham
Su código es: 12085. Gracias.,ham
El código de verificación de la cuenta Microsoft es 747063.,ham
G-066144: código de verificación de Google. No lo compartas.,ham
G-998877: código de verificación de Google. No lo compartas.,ham
Su codigo de verificacion para Claude es: 251387,ham
Tu codigo de seguridad de Instagram es 382910. No lo compartas.,ham
Your Uber code is 3829. Never share this code.,ham
Su visa americana fue aprobada. Pague tramite: visa-mx.com/pago,spam
Banco Azteca: su prestamo de $20000 fue aprobado. Active: bit.ly/azteca-prestamo,spam
Detectamos que usted es ganador de iPhone 15. Reclame: bit.ly/iphone-mx,spam
FOVISSSTE: su credito hipotecario fue autorizado. Ingrese: fovissste-credito.com,spam
Consar: su ahorro para el retiro tiene rendimientos. Retire: consar-retiro.net,spam
Su numero fue premiado por Bodega Aurrera. Reclame $5000: bit.ly/aurrera-premio,spam
Aviso IMSS: su NSS tiene un error. Corrijalo antes del viernes: imss-nss.com,spam
CFE informa corte de luz programado. Evitelo pagando: cfe-evita-corte.com,spam
Recibe $500 pesos por contestar esta encuesta: encuesta-pagada-mx.com,spam
Migracion CURP: su documento tiene inconsistencias. Corrija: curp-mx.net,spam
Tu solicitud de empleo fue aceptada. Deposita fianza de $1500: empleo-mx.com,spam
Alerta: su RFC fue utilizado para declaracion falsa. Verifique: rfc-alerta.com,spam
BECA BENITO JUAREZ: deposito pendiente. Actualiza datos: beca-juarez-mx.com,spam
Has ganado un viaje a Cancun todo incluido. Reclama: viaje-premio-mx.com,spam
Notificacion judicial pendiente a su nombre. Consulte: juicio-mx.com,spam
Oye te presto el apunte del lunes si quieres,ham
Buen dia recuerda traer tu credencial mañana para el tramite,ham
El super ya esta listo paso por ti en 10 minutos,ham
Confirma tu cita de mañana respondiendo SI o NO,ham
Tu transferencia de $500 fue recibida gracias,ham
La señora de la limpieza no va a poder venir el sabado,ham
Aviso importante: el agua se va a cortar mañana de 8 a 12,ham
Mañana es el ultimo dia para pagar la colegiatura,ham
Ya sali del trabajo llego como en media hora,ham
Feliz cumpleaños! Que la pases muy bien el dia de hoy,ham
Tu hijo llego bien a la escuela ya esta en salon,ham
El pedido de pizza ya va en camino llega en 20 minutos,ham
Recuerda que mañana es dia feriado no hay clases,ham
Ya quedo arreglado el coche pasa por el cuando puedas,ham
Tu contrato de arrendamiento vence el proximo mes avisanos,ham
Se busca roomie departamento 2 recamaras zona Condesa,ham
El grupo de estudio se reune el domingo a las 4pm,ham
Gracias por venir hoy fue un placer atenderte,ham
Tu numero de folio es 847392 guardalo para cualquier aclaracion,ham
Mañana llevamos pastel para el cumple de la maestra,ham
Ya llego el estado de cuenta al correo checalo cuando puedas,ham
El partido de futbol es el sabado a las 11am cancha 3,ham
Tu solicitud de vacaciones fue aprobada del 15 al 22,ham
Aviso condominio: asamblea extraordinaria el jueves 8pm salon,ham
La feria del libro es este fin de semana entrada libre,ham
Santander: su cuenta presenta movimientos inusuales. Verifique: bit.ly/san-mx,spam
INEGI: usted fue seleccionado para encuesta con pago de $800. Registrese: inegi-pago.com,spam
Su telefono tiene un virus. Eliminelo descargando: limpia-virus-mx.com,spam
Ganador sorteo Cruz Roja: $30000 pesos. Confirme datos: cruz-roja-sorteo.com,spam
AFORE SURA: su cuenta tiene rendimientos no reclamados. Retire: sura-retiro.net,spam
Alerta Mercado Libre: su cuenta fue hackeada. Verifique: bit.ly/ml-alerta,spam
Reciba $3000 semanales trabajando desde casa. Informes: trabajo-casa-mx.com,spam
Su licencia de conducir esta por vencer. Renovela: licencia-mx.net/renovar,spam
ISSSTE: beneficio medico especial disponible. Solicite: issste-beneficio.com,spam
Compartamos Banco: prestamo inmediato aprobado. Active: bit.ly/compartamos,spam
Notificacion IMSS: su clinica fue reasignada. Confirme: imss-reasignacion.com,spam
Recarga tu Tarjeta de Transporte y recibe 50 pesos extra: transporte-mx.net,spam
Tu cuenta de Netflix fue accedida desde otro pais. Asegura: bit.ly/nflx-mx,spam
BBVA Bancomer: su chequera digital expira hoy. Renueve: bit.ly/chequera,spam
Premio especial Walmart: $10000 en compras. Reclame: walmart-premio-mx.com,spam
Oye se te olvido tu chamarra en mi casa te la guardo,ham
El medico dijo que los resultados salen en 3 dias,ham
Pasas a recoger a los niños o los llevo yo hoy,ham
Buenas noches que descanses hasta mañana,ham
La clase de mañana se cambia al salon 204 segundo piso,ham
Acaba de llegar paqueteria para ti esta en la recepcion,ham
Te llame pero no contestaste marcame cuando puedas,ham
El wifi de la oficina se cae seguido reportalo con sistemas,ham
Ya regrese del viaje todo bien gracias por preguntar,ham
Recuerda traer los documentos que te pedi para el tramite,ham
Este fin de semana hay tianguis en el parque entrada libre,ham
Tu cita para revision de lentes es el martes a las 5pm,ham
El profe subio las calificaciones ya puedes consultarlas,ham
Mañana es la presentacion del proyecto preparate bien,ham
Se cancela la practica de hoy por la lluvia avisale a todos,ham
Ya deposite la quincena checas tu cuenta por favor,ham
La reunion de padres de familia es el viernes a las 6pm,ham
Hoy llega tu hermano al aeropuerto a las 9pm no olvides,ham
Tu seguro de auto se renueva automaticamente el dia 15,ham
El plomero dice que tarda una hora mas en terminar,ham
La farmacia ya tiene tu medicamento apartado pasa hoy,ham
Aviso escuela: semana de examenes del 20 al 24 de enero,ham
Ya se subio el horario del proximo semestre checalo,ham
Tu cita para pasaporte es el miercoles 10am edificio A,ham
Llegaron los muebles que pediste los subo en un momento,ham
Alerta HSBC: su tarjeta fue clonada. Bloquéela: bit.ly/hsbc-bloqueo,spam
Sepomex: su paquete tiene adeudo aduanal de $450. Pague: bit.ly/sepomex-adeudo,spam
Banamex: su cuenta sera cancelada en 24hrs. Evitelo: banamex-urgente.com,spam
Gane hasta $15000 mensuales invirtiendo en criptomonedas: cripto-mx.net,spam
Su numero fue seleccionado por Soriana para premio mayor: bit.ly/soriana-gana,spam
IMSS: su pension por invalidez fue aprobada. Reclame: imss-pension.net,spam
Alerta Telcel: consumio el 100% de sus datos. Recargue: bit.ly/telcel-recarga,spam
Su credito en Coppel tiene una promocion exclusiva hoy: coppel-promo.com,spam
Gobierno Mexico: subsidio de luz disponible para su domicilio: bit.ly/subsidio-cfe,spam
SAT: su empresa tiene una auditoria pendiente. Atiendala: sat-auditoria.com,spam
BANJERCITO: tiene un vehiculo retenido a su nombre. Libérelo: bit.ly/banjercito,spam
Oferta exclusiva: seguro de vida desde $99 pesos al mes: seguros-baratos-mx.com,spam
Tu cuenta de Spotify fue suspendida. Reactívela: bit.ly/spotify-mx,spam
CONAGUA: su medidor de agua tiene adeudo. Regularice: conagua-adeudo.com,spam
Premio OXXO: su ticket fue ganador de $5000. Reclame: oxxo-ganador.com,spam
Inversion segura con rendimientos del 30% mensual: invierte-seguro-mx.com,spam
Verificacion pendiente en su cuenta de Amazon Mexico: bit.ly/amazon-verifica,spam
IMSS: su expediente medico tiene una actualizacion urgente: imss-expediente.net,spam
Su tarjeta de debito BBVA tiene un cargo no reconocido de $2300: bit.ly/bbva-cargo,spam
Notificacion: su domicilio tiene una deuda predial pendiente: predial-mx.com,spam
Banco Azteca le otorga credito de $50000 sin buro. Active: bit.ly/azteca-credito,spam
Su numero gano en la rifa del Teletón. Confirme: bit.ly/teletonrifa,spam
"Tu pedido #MX4827163 de Liverpool ha sido confirmado. Total: $1,249. Lo recibirás el 25 de abril.",ham
Gracias por tu compra en Zara. Pedido Z-00293847 procesado. Te avisaremos cuando salga a repartir.,ham
OXXO PAY: Recibimos tu pago de $350 para Netflix. Folio 8827364. Guarda este comprobante.,ham
Confirmamos tu orden #48271 en Mercado Libre. El vendedor tiene 2 días para enviarlo.,ham
Tu reserva en CINÉPOLIS para el 22 abril a las 7:30pm está confirmada. Folio 2938471. Muestra este SMS.,ham
Pedido #GDL-9283 confirmado en Amazon.com.mx. Estimado de entrega: 23-25 de abril.,ham
Farmacias del Ahorro: Tu pedido 00293 está listo para recoger en Sucursal Insurgentes. Vigencia 48hrs.,ham
Walmart: Tu orden #WM827364 fue pagada exitosamente. Entrega programada para mañana 10am-2pm.,ham
Shein: Pedido S-MX00293847 confirmado. Procesaremos tu envío en 3-5 días hábiles.,ham
"IKEA México: Tu pedido #IK293847 está en camino. Entrega estimada 26 de abril, rango 9am-1pm.",ham
"Tu paquete de Amazon #112-9283741 fue entregado hoy a las 2:34pm. Si no lo recibiste, visita amazon.com.mx/ayuda",ham
Estafeta: Tu paquete 1Z9283747 está en ruta. Entrega estimada hoy antes de las 9pm.,ham
DHL México: Tu envío 9283746182 fue recogido por el destinatario. Gracias por usar DHL.,ham
FedEx: Tu paquete 7489203847 llegó a la sucursal Guadalajara Norte. Recógelo con ID oficial.,ham
Mercado Envíos: Tu compra #MX-8827361 fue despachada. Número de rastreo: ME928374615.,ham
Tu pedido de Rappi #RP-00293 salió del restaurante. Llegará en aproximadamente 25 minutos.,ham
"DiDi Food: Tu orden está en camino. Repartidor: Carlos, califica tu experiencia al recibir.",ham
Cornershop: Tu pedido #CS-9283 fue empacado y está en camino. Llegará en 15-20 minutos.,ham
Liverpool: Tu pedido #LP-293847 salió de nuestro centro de distribución. Rastreo: liverpool.com.mx/rastreo,ham
ZARA: Tu paquete #ZA00293847 fue entregado en tu domicilio el 21 de abril a las 3:15pm.,ham
"Ópticas Devlyn: ANGEL, tus lentes están listos. Pasa a recogerlos a Sucursal Centro. Factura 293847.",ham
Coppel Óptica: Tus lentes graduados ya están disponibles. Presenta tu ticket 7857064489 en tienda.,ham
"Sears Óptica: Hola LUIS, tus armazones con graduación están listos en sucursal Perisur. Folio 48291.",ham
Ópticas Lux: Tus lentes de contacto pedido #OL-2938 llegaron a tienda. Trae tu receta médica al recoger.,ham
"General Óptica: Tu pedido de lentes #GO-38291 está listo. Sucursal Insurgentes, L-S 10am-8pm.",ham
"BBVA: Tu transferencia de $2,500 a JUAN GARCIA fue procesada. Folio 9283746. Consulta en app.",ham
"Banorte: Compra aprobada $349 en UBER EATS el 21/04 a las 8:23pm. Saldo disponible: $4,821.",ham
"Nu México: Tu tarjeta terminación 4892 fue usada por $1,200 en LIVERPOOL el 21/04/2026.",ham
HSBC: Tu domiciliación de $699 para Spotify fue procesada. Próximo cargo: 21 de mayo.,ham
Clip: Recibiste un pago de $350 de MARIA LOPEZ. Ya está disponible en tu cuenta Clip.,ham
"IMSS: Recordatorio cita médica Dr. Ramírez, 23 de abril 10:30am, UMF 47. Llega 15 min antes.",ham
Hospital Ángeles: Tu cita con Dr. García el 25/04 a las 11am está confirmada. Trae estudios previos.,ham
Laboratorio Médico: Tus resultados de análisis #LM-293847 están listos. Recógelos en recepción.,ham
Dentalia: Recordatorio: cita con Dr. Hernández mañana jueves 24 de abril a las 5pm. Sucursal Polanco.,ham
Farmacia Benavides: Tu pedido de medicamentos #FB-9283 está listo para recoger. Vigencia 24hrs.,ham
Uber: Tu viaje del 21 de abril de Insurgentes a Aeropuerto CDMX costó $287. Califica a tu conductor.,ham
"Airbnb: Confirmación de reserva en Guadalajara, 3-5 mayo. Folio AIR-MX-293847. Check-in 3pm.",ham
VivaAerobus: Tu vuelo VB-291 GDL-MTY el 30 de abril está confirmado. Asiento 14A. Check-in abre 24hrs antes.,ham
Aeromexico: Boarding pass listo para AM-492 CDMX-CUN 25 abril. Descárgalo en aeromexico.com/checkin,ham
Telcel: Tu recarga de $100 fue aplicada exitosamente. Saldo actual: $108.50. Vigencia 30 días.,ham
Telcel: Activa hoy tu paquete Amigo Sin Límite 80 y navega sin parar. Llama al *133# ahora.,spam
OXXO: Esta semana 2x1 en todas las bebidas energéticas. Solo en tiendas participantes.,spam
Liverpool: Cyber Monday llegó antes! 30% en electrónica solo hoy. Entra a liverpool.com.mx,spam
Coppel: Estrena esta temporada con 20% de descuento en ropa de dama. Solo por hoy.,spam
Telcel: Renueva tu equipo con 0% de intereses. Nuevos modelos iPhone y Samsung disponibles.,spam
Soriana: Martes de frescura: pollo a $49/kg y jitomate a $19/kg. Solo en tiendas físicas.,spam
Cinépolis: Este fin de semana 2x1 en boletos para cualquier función. Usa código CINE2X1.,spam
MercadoLibre: Ofertas del día solo para ti: hasta 60% en electrónica. Entra antes que se agoten.,spam
Spotify: Regresa a Premium por solo $29 el primer mes. Oferta exclusiva por tiempo limitado.,spam
Amazon: Como cliente frecuente tienes acceso anticipado a nuestras ofertas de primavera.,spam
BBVA: Detectamos acceso no autorizado. Verifica tu cuenta urgente: bit.ly/bbva-seguro-mx,spam
"SAT México: Tiene un reembolso pendiente de $3,200. Reclámelo antes del 30 de abril: sat-reembolso.net",spam
Tus puntos Tetcel (3.237) vencen hoy. Canjéalos antes que caduquen: ln.run/WBPgr,spam
BANORTE: Su tarjeta fue suspendida por actividad inusual. Reactívela en: banorte-seguro.com,spam
"Ganaste un premio de $15,000 pesos en el sorteo Telcel. Reclama llamando al 800-555-2938.",spam
IMSS: Su número de afiliación será cancelado. Actualice sus datos: imss-afiliacion.mx,spam
Correos México: Su paquete no pudo entregarse. Reprograme en: correos-mx.net/reprogramar,spam
CFE: Adeudo detectado en su cuenta. Evite corte de luz pagando en: cfe-pagos.com/urgente,spam
Steam: Usa el código VW54C para cambiar las credenciales de tu cuenta.,spam
[TecIe] Sus 9688 psuntos vencen el 21 enero. Canjéelos: https://bit.ly/3NDDX3A,spam
"Hola! Te ofrezco clases de inglés en línea, grupos pequeños, precio especial este mes. ¿Te interesa?",spam
"Buenos días! Tenemos tamales de rajas, verdes y dulces. Pedidos al WhatsApp 5591234567.",spam
Has escuchado de las nuevas cartas de amor invisibles en Mercado Libre? Las tengo a mejor precio.,spam
"Hola, vendo ropa de marca a mitad de precio, todo nuevo con etiqueta. Mándame mensaje si gustas.",spam
"Buenas tardes, ofrezco servicio de limpieza de hogar, precios accesibles, referencias disponibles.",spam
"Soy distribuidora independiente de Herbalife, ¿te gustaría saber más sobre nuestros productos?",spam
Hola! Inversión segura con rendimientos del 20% mensual. Solo 10 lugares disponibles. Escríbeme.,spam
Tengo boletos para el concierto de Peso Pluma a mitad de precio. Son originales. ¿Te interesan?,spam
"Buen día, ofrezco préstamos personales sin buró de crédito. Depósito en 24hrs. ¿Necesitas?",spam
Hola! Gana dinero desde casa vendiendo productos naturales. Sin inversión inicial. ¿Te cuento?,spam
MasVision: Aprovecha 50% en armazones esta semana. Terminos: mvm.news/abc123,spam
BAurrera: Solo hoy envio sin costo a partir de $99. Entra: acs1.tc/promo,spam
"Telcel: Mantente conectado, compra un paquete nuevo desde aqui: pay.telcel.com/dp1",spam
Elektra: Lleva hoy tu nueva pantalla 55 pulgadas con 18 meses sin intereses. Solo en tienda.,spam
"Bodega Aurrera: Feria del ahorro esta semana, hasta 40% en abarrotes seleccionados.",spam
HSBC: Tienes puntos por vencer. Canjéalos antes del 30 de abril en hsbc.com.mx/puntos,spam
"Hola soy Karla, asesora de seguros. ¿Te interesa cotizar un seguro de vida? Sin compromiso.",spam
Buenas! Vendo miel de abeja pura directo del productor. Kilo a $120. ¿Te mando más info?,spam
Rappi: Esta semana 30% de descuento en tu primera orden de farmacia. Código: FARMA30,spam
DiDi: Tienes un cupón de $50 esperándote. Úsalo en tu próximo viaje antes del domingo.,spam
Urgente: su CURP fue utilizada para tramite ilegal. Verifique: curp-urgente.com,spam
Movistar: su linea sera suspendida por falta de pago: bit.ly/movistar-pago,spam
AT&T: tiene facturas pendientes. Evite suspension: att-mx-pagos.com,spam
Hola buen dia como te fue en el examen de ayer,ham
Ya pague el predial guardo el comprobante por si acaso,ham
La vecina dice que mañana hay corte de agua todo el dia,ham
Oye me prestas tus apuntes de calculo para el fin de semana,ham
Tu inscripcion al taller de cocina esta confirmada el sabado,ham
El niño ya se tomo el medicamento y esta mejor gracias,ham
Mañana es el dia del maestro no olvides el detalle,ham
Ya llego el técnico a revisar el internet tarda como una hora,ham
Los gatos ronronean a una frecuencia que podría curar las enfermedades de los huesos,ham
Sabías que los pulpos tienen tres corazones y su sangre es de color azul?,ham
Dato curioso: Las abejas pueden reconocer rostros humanos.,ham
Oye acabo de leer que el agua caliente se congela más rápido que la fría. Qué loco!,ham
El aguacate es una fruta no una verdura. Te lo juro lo acabo de buscar.,ham
¿Sabías que un día en Venus es más largo que un año en Venus?,ham
Te paso un dato inútil: los osos polares son zurdos.,ham
El cerebro humano genera suficiente electricidad para encender un foco pequeño.,ham
Dicen que comer chocolate negro ayuda a mejorar la memoria y prevenir enfermedades.,ham
Dato del día: las manzanas te despiertan más por la mañana que una taza de café.,ham
Las vacas tienen mejores amigas y se estresan mucho si las separan.,ham
Me acabo de enterar que las pirámides de Egipto se construyeron cuando aún había mamuts.,ham
El corazón de un camarón está en su cabeza. ¡Increíble!,ham
Sabías que los delfines se ponen nombres entre ellos mediante silbidos únicos?,ham
Te imaginas? Si pudieras conducir tu auto hacia arriba llegarías al espacio en una hora.,ham
Dicen que reír por 10 minutos al día fortalece el sistema inmunológico.,ham
Oye leí un artículo sobre cómo los perros pueden detectar bajones de azúcar en la sangre.,ham
Sabías que las medusas no tienen cerebro ni corazón?,ham
Un dato que te va a volar la cabeza: hay más estrellas en el universo que granos de arena en la Tierra.,ham
Los perezosos pueden aguantar la respiración bajo el agua más tiempo que los delfines.,ham
Recuerda que el lunes es dia feriado no hay transporte,ham
Tu solicitud de cambio de turno fue autorizada desde el lunes,ham
El gimnasio estara cerrado el domingo por mantenimiento,ham
Ya saque turno en el banco es el jueves a las 11am,ham
La presentacion del martes es en el auditorio no en el salon,ham
Mañana traen el colchon que pediste en la mañana estate,ham
Tu expediente escolar ya esta listo puedes pasar a recogerlo,ham
Se necesita voluntario para el evento del sabado avisame,ham
El taller mecanico dice que tu carro queda listo el viernes,ham
Ya confirme la reservacion del hotel para las vacaciones,ham
Oye se me olvido avisarte que el miercoles no hay agua,ham
Tu beca fue renovada para el siguiente semestre felicidades,ham
Usar 554220 como código de seguridad de la cuenta de Microsoft,ham
Usar 735898 como código de seguridad de la cuenta de Microsoft,ham
Usar 750480 como código de restablecimiento de la contraseña de la cuenta de Microsoft,ham
Amazon: 163012. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/9G5gwnu4k,ham
Amazon: 059847. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/KlRyrqMtl,ham
Usar 829304 como código de seguridad de la cuenta de Microsoft,ham
Usar 112938 como código de restablecimiento de la contraseña de la cuenta de Microsoft,ham
Amazon: 738291. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/Xp3mQnR2w,ham
Amazon: 920384. ¿No lo solicitaste? Toca para rechazar: https://amazon.com.mx/z/Lk8vBzT5y,ham
Tu código de Microsoft es 482910. Úsalo en los próximos 30 minutos.,ham
Microsoft: usa 738201 para verificar tu identidad. No lo compartas con nadie.,ham
Código de verificación de Microsoft: 293847. Expira en 10 minutos.,ham
Tu código de seguridad de Microsoft es 847362. Si no lo solicitaste ignora este mensaje.,ham
Código de acceso de Amazon: 728391. Introdúcelo en la app para continuar.,ham
Amazon: tu código de verificación es 938271. Válido por 15 minutos.,ham
Tu código de inicio de sesión de Amazon es 483920. No lo compartas.,ham
Google: tu código de verificación es 829374. No lo compartas con nadie.,ham
G-482910: tu código de verificación de Google. No lo compartas.,ham
G-738291: código de verificación de Google. Válido por 10 minutos.,ham
Tu código de verificación de WhatsApp es 482-910. No lo compartas.,ham
WhatsApp: tu código es 738-291. Alternativa: wa.me/938475829,ham
WhatsApp: 293-847. No lo compartas con nadie.,ham
Tu código de verificación de Instagram es 482910.,ham
Facebook: usa el código 738291 para iniciar sesión.,ham
Código de acceso de Mercado Libre: 829374. Ingresa en la app.,ham
MercadoLibre: tu código de verificación es 483920. Expira en 5 minutos.,ham
Tu código de Mercado Pago es 293847. No lo compartas con nadie.,ham
BBVA: tu token para autorizar la operación es 483920. Válido 2 minutos.,ham
Banorte: código de verificación 738291 para confirmar tu operación. No lo compartas.,ham
Nu: tu código para ingresar es 829374. Si no lo solicitaste bloquea tu tarjeta en la app.,ham
Spotify: usa el código 483920 para verificar tu correo electrónico.,ham
Netflix: tu código de acceso temporal es 293847. Úsalo en los próximos 30 minutos.,ham
Uber: tu código de verificación es 728391. Nunca te pediremos este código por llamada.,ham
DiDi: tu código de verificación es 829374. No lo compartas con nadie.,ham
Discord: tu código de verificación es 482910. Expira en 10 minutos.,ham
Tu código de verificación de TikTok es 738291. Válido por 5 minutos.,ham
Steam Guard: tu código de acceso es XB3M9. Úsalo en los próximos 30 minutos.,ham
Steam Guard: código de acceso para tu cuenta: KV7NQ. No lo compartas.,ham
Tu código de verificación de Rappi es 293847. Úsalo antes de que expire.,ham
Coinbase: tu código de verificación es 829374. Nunca lo compartas con soporte.,ham
La reunion del condominio se pospuso para el siguiente mes,ham
Recuerda llevar tu comprobante de domicilio para el tramite,ham
El profe dijo que el proyecto puede entregarse el lunes,ham
Ya llego tu pedido de mercado libre esta en la puerta,ham
Mañana es la graduacion recuerda llegar media hora antes,ham
Ganaste un SmartTV 55 pulgadas en sorteo Elektra. Reclama: elektra-premio.com,spam
INFONAVIT: su credito fue cancelado por error. Reactívelo: infonavit-reactiva.net,spam
Alerta PayPal: cuenta limitada por actividad inusual. Verifica: bit.ly/paypal-mx,spam
Su poliza de seguro Qualitas tiene un reembolso pendiente: qualitas-reembolso.com,spam
Reciba dinero por ver anuncios desde su celular: gana-viendo-mx.com,spam
FONDO PENSIONES: tiene $45000 no reclamados. Retírelos: fondo-pension-mx.net,spam
Banco HSBC: su cuenta corriente fue bloqueada. Desbloquee: bit.ly/hsbc-desbloqueo,spam
Su hijo fue reportado en lista negra escolar. Verifique: lista-negra-sep.com,spam
Oferta: compre 2 colchones y llevese 1 gratis hoy: colchones-mx.com/oferta,spam
Premio Navideño Chedraui: gano canasta de $8000. Reclame: chedraui-navidad.com,spam
Alerta migracion: su pasaporte fue usado en otro pais. Reporte: pasaporte-alerta.com,spam
ISSSTE: su pension mensual tiene un incremento pendiente: issste-pension.net,spam
Recupere su dinero perdido en inversiones con nuestra ayuda: recupera-inversion.com,spam
Su cuenta de iCloud fue comprometida. Asegurela: bit.ly/icloud-mx,spam
Notificacion SEP: su cedula profesional tiene observaciones: sep-cedula.com,spam
Gane premios jugando desde su celular. Descargue: juega-gana-mx.com,spam
IMSS: cambio de clinica familiar autorizado. Confirme: bit.ly/imss-clinica,spam
Su propiedad aparece en demanda judicial. Consulte: demanda-mx.net,spam
Bimbo: participe en nuestro concurso y gane $20000: bimbo-concurso.com,spam
Alerta: detectamos intento de robo de identidad a su nombre: bit.ly/robo-identidad,spam
Oye ya llego la pizza estamos esperandote baja,ham
