etiqueta,mensaje,,,
ham,Está bien si así es como te sientes. Así es como tiene que ser.,,,
spam,"Inglaterra vs Macedonia: no te pierdas los goles ni las noticias de los equipos. Envía un SMS con el nombre de tu selección nacional al 87077, por ejemplo, INGLATERRA al 87077. Prueba con: GALES, ESCOCIA 4txt/̼1.20 POBOXox36504W45WQ 16+",,,
ham,¿En serio se escribe así su nombre?,,,
ham,Voy a intentarlo durante 2 meses jajaja es broma,,,
ham,"Entonces, pague primero... ¿Cuándo llegará el stock?",,,
ham,"Después de terminar mi almuerzo, me voy directo abajo. Alrededor de las 3 y algo. ¿Ya terminaste tu almuerzo?",,,
ham,Fffffffffff. ¿De acuerdo? ¿No hay manera de que pueda reunirme contigo antes?,,,
ham,Me obligué a comer una rebanada. Aunque en realidad no tengo hambre. Esto apesta. Mark se está preocupando. Sabe que estoy enferma cuando rechazo la pizza. Jaja.,,,
ham,"Jajaja, siempre eres tan convincente.",,,
ham,¿Cogiste el autobús? ¿Estás friendo un huevo? ¿Preparaste un té? ¿Estás comiendo la cena que sobró de tu madre? ¿Sientes mi amor?,,,
ham,"Ya estoy de vuelta y ahora estamos cargando el coche, te avisaré si hay sitio.",,,
ham,Ahhh. Trabajo. ¡Lo recuerdo vagamente! ¿Qué se siente? Jajaja,,,
ham,"Espera, eso todavía no está del todo claro, ¿no estabas seguro de que estaba siendo sarcástico o de que por eso X no quiere vivir con nosotros?",,,
ham,"Sí, llegó a las 2 y se disculpó mucho. Se habían peleado y ella se comportaba como una niña mimada y él se vio envuelto en eso. ¡Hasta las 2! ¡Pero no vamos a entrar en detalles! No está nada mal, gracias. ¿Y tú?",,,
ham,"K, cuéntame algo sobre ti.",,,
ham,"¿Tienes miedo de desmayarte después de hacer todas esas tareas domésticas? Rápido, tómate una taza de té.",,,
spam,"Gracias por suscribirse a Ringtone UK. Se le cobrarán 5 £/mes a su móvil. Por favor, confirme respondiendo SÍ o NO. Si responde NO, no se le cobrará nada.",,,
ham,"Sí... Vale, voy a casa, miro los horarios y luego envío otro mensaje... Xuhui también va a aprender el 2 de mayo, pero su clase es a las 8 de la mañana.",,,
ham,"Ups, te avisaré cuando mi compañero de cuarto termine.",,,
ham,Veo la letra B en mi coche.,,,
ham,Cualquier cosa lo... Tú decides...,,,
ham,¡Hola! ¿Cómo estás? ¿Qué tal el sábado? Te escribía para ver si habías decidido hacer algo mañana. ¡No es que quiera invitarme ni nada!,,,
ham,"Por favor, continúa con Watts. Solo quería asegurarme. Que tengas un buen fin de semana. Abiola",,,
ham,"¿Olvidé decírtelo? Te deseo, te necesito, te anhelo... Pero sobre todo... te amo, mi dulce corcel árabe... Mmmmmm... Delicioso",,,
spam,"07732584351 - Rodger Burns - MSG = Intentamos comunicarnos con usted en relación con su respuesta a nuestro SMS para obtener un teléfono móvil Nokia gratis + una videocámara gratis. Por favor, llame ahora al 08000930705 para la entrega mañana.",,,
ham,¿CON QUIÉN VES?,,,
ham,¡Genial! Espero que te guste tu hombre bien dotado. Yo mido <#> pulgadas...,,,
ham,Sin llamadas...mensajes...llamadas perdidas,,,
ham,¿No te vacunaron contra la hepatitis B en Nigeria?,,,
ham,"Vale, ¿pasa algo?",,,
ham,"Sí, ojalá. Si Tyler no puede hacerlo, podría preguntar por ahí.",,,
ham,No sabes lo terca que soy. Ni siquiera quería ir al hospital. Le repetía a Mark que no soy una cobarde. Los hospitales son para cobardes.,,,
ham,Lo que pensaste de mí. La primera vez que me viste en clase.,,,
ham,"Un gramo normalmente se corre como <#>, sin embargo, un medio octavo es más inteligente y te da casi un segundo gramo completo por <#>.",,,
ham,"K fyi x tiene que ir a buscarlo mañana temprano, pero se quedará a dormir en nuestra casa esta noche.",,,
ham,"Vaya. Nunca me di cuenta de que te avergonzaba tanto tu alojamiento. Pensé que te gustaba, ya que hice lo mejor que pude y siempre parecías tan feliz con ""la cueva"". Lamento no haber podido ni poder ofrecer más. Lamento haberme ofrecido. Lamento que tu habitación te resultara tan vergonzosa.",,,
spam,SMS. ac Sptv: Los New Jersey Devils y los Detroit Red Wings juegan al hockey sobre hielo. ¿Correcto o incorrecto? ¿Fin? Responder FIN SPTV,,,
ham,¿Sabes qué hizo Mallika Sherawat ayer? Descúbrelo ahora en &lt;URL&gt;,,,
spam,"¡Felicidades! Un pase especial de cine de 1 año para 2 personas es tuyo. ¡Llama ahora al 09061209465! Superman V, Matrix 3, Star Wars 3, etc. ¡Todo GRATIS! bx420-ip4-5we. 15:50. ¡No te lo pierdas!",,,
ham,"Lo siento, llamaré más tarde durante la reunión.",,,
ham,Dime dónde llegaste,,,
ham,Sí... Gauti y Sehwag fuera de la serie Odi.,,,
ham,Vas a tener que comprarte una hamburguesa de un dólar de camino a casa. No puedo ni moverme. El dolor me está matando.,,,
ham,"Ja ja ja, buen chiste. Las chicas buscan situaciones.",,,
ham,Es parte de la prueba de coeficiente intelectual.,,,
ham,"Perdón, mis compañeros de piso tardaron muchísimo, ¿puedo ir ahora?",,,
ham,"Ok, ya lo consulté con el peluquero. Dijo que me lo cortaría muy corto. Dijo que me lo cortaría hasta que me viera bien.",,,
spam,"Como cliente valioso, me complace informarle que, tras una reciente revisión de su número de móvil, ha sido galardonado con un premio adicional de 1500 €. Llame al 09066364589.",,,
ham,"Hoy es el día de las canciones dedicadas. ¿Qué canción me dedicarías? Envía esto a todos tus valiosos amigos, pero primero respóndeme...",,,
spam,"Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav, Aco&Entry41 o £1000. Para reclamarlo, envíe un mensaje de texto con DIS al 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
spam,"¿Has oído hablar de la nueva ""Barbie Divorciada""? ¡Viene con todas las cosas de Ken!",,,
ham,Planeo hacer la donación a finales de este mes.,,,
ham,"Vaya, qué suerte tiene ese hombre... Entonces puede ahorrar dinero... Jeje...",,,
ham,¿Terminaste la clase? ¿Dónde estás?,,,
ham,"HOLA CARIÑO, ESTOY EN CASA AHORA, ¿QUIERES HACER ALGO? XX",,,
ham,K..k:) ¿Dónde estás? ¿Cómo te fue?,,,
ham,Puedes llamarme ahora...,,,
ham,"Estoy esperando, Machan. Llámame cuando estés libre.",,,
ham,Eso está bien. Soy un caballero y te trataré con dignidad y respeto.,,,
ham,Me caéis muy bien :) pero soy muy tímido pa.,,,
ham,No funciona después de &lt;#&gt; o qué,,,
ham,Aquí no es lo mismo. Sigo buscando trabajo. ¿Cuánto ganan los ayudantes de cátedra allí?,,,
ham,"Lo siento, llamaré más tarde.",,,
ham,K. ¿Me acabas de llamar?,,,
ham,"Vale, voy de camino a casa, hola, hola.",,,
ham,Tú estarás en el lugar de ese hombre.,,,
ham,"Sí, siguiente parada.",,,
ham,"Te llamo luego, no tengo señal. Si es urgente, envíame un SMS.",,,
ham,"¿En serio, cuándo vas a entrar? Solo necesito dos entradas más y una chaqueta más y listo. Ya usé todos mis multis.",,,
ham,"Sí, empecé a enviar peticiones para que lo hicieran, pero volvió el dolor, así que estoy de nuevo en la cama. También hay doble de monedas en la fábrica. Tengo que canjear todos mis nitros.",,,
ham,"Esta noche todavía no tengo ganas, cariño.",,,
ham,"Ela kano.,il descargar, ven cuando estés gratis..",,,
ham,"¡Sí, hazlo! Pero no te acerques demasiado, ¡podrías contagiarte de algo!",,,
ham,"Disculpa las molestias. ¿Te parece bien que nos veamos otra noche? Pasé la tarde en urgencias y eso significa que no he hecho nada de lo que tenía que hacer, y eso incluye todas mis hojas de horas y demás. Lo siento.",,,
ham,"Sonríe con alegría, sonríe con dolor, sonríe cuando los problemas caen como la lluvia, sonríe cuando alguien te lastima, sonríe porque ALGUIEN todavía ama verte sonreír.",,,
spam,"¡Llame a nuestro representante de servicio al cliente al 0800 169 6031 entre las 10:00 y las 21:00, ya que ha GANADO un premio garantizado de 1000 £ en efectivo o 5000 £!",,,
ham,"No tengo pensado comprar nada más tarde. Ya revisé, Lido solo tiene funciones a las 5:30 de la tarde. ¿Ya terminaste de trabajar?",,,
spam,"Tu tono de llamada gratuito está esperando a ser recogido. Simplemente envía un mensaje de texto con la contraseña ""MIX"" al 85069 para verificarlo. Consigue a Usher y Britney. FML",," MK17 92H. 450Ppw 16""",
ham,Estoy viendo una película telugu... ¿y tú?,,,
ham,"Ya veo. Cuando terminemos, tendremos un montón de préstamos que pagar.",,,
ham,"Hola. La semana ha ido bien, ¡ahora estoy de vacaciones! Sí, he salido a correr un rato. Se me olvidó que tengo cita en la peluquería a las cuatro, así que tengo que volver a casa y ducharme antes. ¿Te supone algún problema?",,,
ham,"Por favor, no me envíes más mensajes. No tengo nada más que decir.",,,
ham,"Vale, dime el precio siempre que sea legal. ¿Cuándo puedo recogerlos? ¿Por qué tienes x ams xx?",,,
ham,Todavía estoy buscando un coche para comprar. Y aún no he hecho el examen de conducir.,,,
ham,"Según tu solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como tu tono de llamada para todos tus contactos. Pulsa *9 para copiar el tono de llamada de tus amigos.",,,
ham,"¡Guau! ¡Tienes razón! No fue mi intención. Supongo que cuando dejé de buscar hombres de Boston y cambié mi ubicación de búsqueda a Nueva York, algo cambió. Porque en mi página de inicio de sesión todavía aparece Boston.",,,
ham,Umma mi vida y vava umma te amo mucho querida,,,
ham,Muchas gracias por sus felicitaciones de cumpleaños. Gracias por hacer que mi cumpleaños fuera realmente memorable.,,,
ham,"Vale, te llamaré cuando tenga algo de dinero.",,,
ham,"¿Cómo podría mi dirección IP realizar esa prueba, considerando que mi computadora no es un servidor de Minecraft?",,,
ham,"¡Ya sé! Viejos cascarrabias. Mi madre me decía: «Más te vale que no estés mintiendo». Aunque, claro, siempre soy yo la que hace bromas...",,,
ham,No te preocupes. Supongo que está ocupado.,,,
ham,¿Cuál es el plural del sustantivo investigación?,,,
ham,Voy a cenar. Te escribo después.,,,
ham,Estoy bien con eso porque me gusta probar cosas nuevas. Pero me da miedo que no te guste. Porque dijiste que no hablara muy alto.,,,
spam,¡CABALLERO! Estamos intentando contactar con usted. El sorteo del fin de semana pasado indica que ha ganado un premio de 1000 £ GARANTIZADO. Llame al 09064012160. Código de reclamación K52. Válido solo durante 12 horas. 150 ppm,,,
ham,"Vaya, tu frase inicial es muy formal... En fin, yo también estoy bien, solo que estoy comiendo demasiado y subiendo de peso... Jaja... ¿Así que pasó algo especial?",,,
ham,"Al entrar en mi despacho, mi asistente personal me dijo: «¡Feliz cumpleaños, jefe!». Me sentí especial. Me invitó a almorzar. Después del almuerzo, me invitó a su apartamento. Fuimos allí.",,,
spam,¡Eres un ganador! Has sido seleccionado especialmente para recibir 1000 € o unas vacaciones de 4 estrellas (vuelos incluidos). Habla con un operador para reclamar tu premio: 0871277810910p/min (mayores de 18 años).,,,
ham,"¡Genial! Sí, tenemos que hablar el viernes: ¡necesitamos saber la proporción de huevo y patata para la tortilla!",,,
ham,"Mmm... mi tío me acaba de informar que está pagando directamente a la escuela. Así que, por favor, compren comida.",,,
spam,"PRIVADO! Su extracto de cuenta de 2004 para el número 07742676969 muestra 786 puntos de bonificación sin canjear. Para reclamarlos, llame al 08719180248. Código de identificación: 45239. Caduca.",,,
spam,"¡URGENTE! Su número de móvil ganó un premio de bonificación de 2000 € el 5/9/03. ¡Este es nuestro último intento de contactarle! Llame desde el teléfono fijo 09064019788 BOX42WR29C, 150 PPM",,,
ham,"Aquí está mi nueva dirección: manzanas, pares y toda esa tontería.",,,
spam,"Hoy se han seleccionado números de Vodafone que terminan en 7548 para recibir un premio de 350 $. Si su número coincide, llame al 08712300220 e indique el código de reclamación 4041 (tarifas estándar).",,,
ham,Hoy voy a Sao Mu. Terminaré a las 12.,,,
ham,¿Predices a qué hora terminará de comprar?,,,
ham,¡Genial! Lo haré.,,,
ham,"Para que lo sepas, Yetunde aún no ha enviado el dinero. Le acabo de mandar un mensaje diciéndole que no se molestara en enviarlo. Así que ya está, no tienes que involucrarte en nada. No debí haberte presionado en primer lugar, así que te pido disculpas.",,,
ham,¿Estás en la habitación?,,,
ham,¡HOLA CHICA! ¿CÓMO ESTÁS? ¡ESPERO QUE ESTÉS BIEN! ¡YO Y DEL HEMOS VUELTO! ¡CUÁNTO TIEMPO SIN VERNOS! ¡LLÁMAME ALGÚN DÍA! DE LUCYxx,,,
ham,K..k:) ¿Cuánto cuesta?,,,
ham,Estoy en casa.,,,
ham,"Estimado/a, le llamaré mañana. Por favor, hágamelo.",,,
ham,Primero responde a mi pregunta.,,,
spam,"¡Pregunta semanal del concurso Sunshine! Gana un reproductor de DVD Sony de alta gama si sabes en qué país se encuentra el Algarve. Envía tu respuesta por SMS al 82277. 1,50 €. SP: Tyrone",,,
spam,¿Quieres tener sexo esta noche? ¿Quieres que te envíen directamente a tu grupo lugares reales para encuentros sexuales al aire libre? Únete a la red de encuentros sexuales al aire libre más grande del Reino Unido enviando un mensaje de texto con la palabra GRAVEL al 69888. Nt. ec2a. 31p.msg@150p,,,
ham,Solo tengo MSN. Mi correo es yijue@hotmail.com,,,
ham,Él está ahí. Llama y queda con él.,,,
ham,"No, no. Revisaré todas las habitaciones antes de las actividades.",,,
spam,"No recibirás más mensajes del servicio de chat. Para servicios hardcore GRATUITOS, envía un mensaje de texto con la palabra GO al 69988. Si no recibes nada, debes verificar tu edad con tu operador y volver a intentarlo.",,,
ham,Tengo c... Me da pereza escribir... Olvidé �_ en lect... Vi una bolsa pero no me gustó mucho...,,,
ham,"Vale, envíame un mensaje cuando estés de camino.",,,
ham,"Señor, estoy esperando su correo.",,,
ham,"Un dulce pensamiento: ""Nunca te canses de hacer pequeñas cosas por las personas que amas... Porque... a veces esas pequeñas cosas ocupan el lugar más importante en sus corazones... Buenas noches"".",,,
ham,"Sé que lo eres. ¿Puedes abrir la parte de atrás, por favor?",,,
ham,"Sí, nos vemos, no exactamente.",,,
ham,¿Cómo se llama el miembro del personal que impartirá la clase por nosotros?,,,
spam,"Mensaje gratuito ¿Por qué no has respondido a mi mensaje? Soy Randy, sexy, mujer y vivo cerca. Me encantaría saber de ti. Netcollex Ltd 08700621170150p por respuesta de mensaje. Detener para finalizar.",,,
ham,"Ummma, te llamaré después de registrarme. Nuestra vida comenzará en Qatar, así que por favor, ora mucho.",,,
ham,K... ¿borré mi contacto por eso?,,,
ham,Sindu consiguió trabajo en Birla Soft.,,,
ham,El vino fluye y yo nunca tengo...,,,
ham,"Sí, creo que el cine es mejor porque no hay necesidad de bajar a la plaza Mah.",,,
ham,Vale... Tu respuesta típica...,,,
ham,"Según tu solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como tu tono de llamada para todos tus contactos. Pulsa *9 para copiar el tono de llamada de tus amigos.",,,
ham,"Estás por todas partes, suciedad, en el suelo, en las ventanas, incluso en mi camisa. Y a veces, cuando abro la boca, solo brotan tus palabras. Sueño con un mundo sin ti, y entonces la mitad de mis tareas también desaparecen. Un tiempo de alegría para mí, muchas series que veré. Pero supongo que, como todas las cosas, simplemente debes existir, como la lluvia, el granizo y la niebla, y cuando mi tiempo aquí termine, tú y yo nos convertiremos en uno.",,,
ham,"Aaooooright, ¿estás en el trabajo?",,,
ham,Me voy de casa ahora...,,,
ham,"Hola, mi amor. ¿Qué estás haciendo? ¿Fuiste a la entrevista hoy? ¿Estás feliz? ¿Te estás portando bien? ¿Piensas en mí? ¿Me extrañas?",,,
spam,Aviso de atención al cliente. Tiene un pedido de Año Nuevo esperándole. Llame ahora al 07046744435 para coordinar la entrega.,,,
spam,¡Eres un ganador! Has sido seleccionado especialmente para recibir 1000 £ en efectivo o unas vacaciones de 4 estrellas (vuelos incluidos). Habla con un operador para reclamar tu premio: 0871277810810,,,
ham,Cuídate mucho por mí porque te necesito y ya te extraño y envidio a todos los que te ven en persona.,,,
ham,Coche y casa nuevos para mis padres.:) Solo tengo un nuevo trabajo entre manos.:),,,
ham,Estoy tan enamorado/a de ti. Me emociona cada día que paso contigo. Me haces muy feliz.,,,
spam,"-POR FAVOR, ALTO bootydelious (32/F) te invita a ser su amigo/a. Responde SÍ-434 o NO-434. Mírala en: www.SMS.ac/u/bootydelious ¿ALTO? Envía ALTO AMIGO/A al 62468",,,
spam,"BangBabes, tu pedido está en camino. Deberías recibir un mensaje de servicio para descargar tu contenido. Si no lo recibes, ve a wap.bangb.tv en el menú de tu internet móvil/servicio.",,,
ham,Ya he incluido todos tus puntos en el módulo de culturas electrónicas.,,,
spam,¡URGENTE! Estamos intentando contactarte. El sorteo del fin de semana pasado indica que has ganado un premio de 900 € GARANTIZADO. Llama al 09061701939. Código de reclamación: S89. Válido solo durante 12 horas.,,,
ham,"Hola amigo, ¿cuál es la mejor manera de evitar malentendidos con nuestros seres queridos?",,,
ham,"Una escapada estupenda. Me apetece el puente, pero necesito su cerveza. Nos vemos mañana.",,,
ham,Sí :) está completamente fuera de forma :) Clark también es un completo desperdicio.,,,
ham,"Señor, necesito el número de cuenta y la dirección del banco AXIS BANK.",,,
ham,"Hmmm... Seguro que tengo tiempo para ir... Sí, puedo ir gratis... Tengo que llamarte para hablarlo...",,,
ham,¿A qué hora bajas más tarde?,,,
ham,"¡Maldita sea! No puedo creer que hayas olvidado mi apellido, señor. Te daré una pista: es español y empieza con m...",,,
ham,"Bueno, voy a terminar de bañarme ahora. Que tengas una buena... hermosa noche.",,,
ham,Avísame cuando tengas el dinero para que Carlos pueda hacer la llamada.,,,
ham,¿Sigues yendo al centro comercial?,,,
ham,"Resulta que mis amigos se quedan para todo el espectáculo y no volverán hasta las ~ <#>, así que siéntete libre de fumarte ese dinero <#>.",,,
ham,"Envíale un mensaje. Si no responde, avísame para que pueda iniciar sesión.",,,
ham,¡Hola! Acabas de hablar con MANEESHA V. Nos gustaría saber si quedaste satisfecho/a con la experiencia. Responde con Sí o No llamando gratis.,,,
ham,"Me diste esperanzas con tu oferta de dinero. Lo necesito. Sobre todo ahora que se acerca fin de mes y me afecta a los estudios. En fin, que tengas un buen fin de semana.",,,
ham,Jajaja no. Puedes confiar en mí.,,,
ham,De acuerdo. Soy un caballero y te trataré con dignidad y respeto.,,,
ham,¿Lo hará? ¿Están ustedes cerca?,,,
ham,No pasa nada genial. Adiós.,,,
ham,¡Hola guapo! ¿Estás encontrando trabajo? ¿No estás siendo perezoso? ¿Estás trabajando para recuperar esa red para mamá? ¿Dónde está mi juguete sexual ahora? ¿Me extraña?,,,
ham,"Jaja, genial, llego en un minuto.",,,
spam,"¡Llame a nuestro representante de atención al cliente al número gratuito 0808 145 4742 entre las 9:00 y las 23:00, ya que ha ganado un premio garantizado de 1000 £ en efectivo o 5000 £!",,,
ham,"¿Tienes los horarios de radio de Navidad? Si no, los buscaré ahora.",,,
ham,"Acabo de llegar a casa. Primero voy a bañarme. Pero mi hermana está usando internet, te avisa cuando termina...",,,
spam,¿Eres lo suficientemente único? Descúbrelo a partir del 30 de agosto. www.areyouunique.co.uk,,,
ham,"Lo siento. Me he unido al grupo de personas que no mantienen el contacto. Significas mucho para mí. Siempre has sido un amigo, incluso a costa de grandes sacrificios personales. Que tengas una buena semana.",,,
ham,Hola :) ¡Por fin terminé el curso! :),,,
ham,"Se detendrá solo. Sin embargo, le sugiero que se quede con alguien que pueda darle suero oral con cada deposición.",,,
ham,¿Cómo estás? Espero que ya te hayas adaptado al nuevo año escolar. Te deseo un gran día.,,,
ham,"Buenos días, que tengas un buen día.",,,
ham,¿Tienes la historia de esa persona?,,,
ham,"¿Tu hámster está muerto? Hola, ¿te veo mañana a la 1 pm en la estación de MRT Orchard?",,,
ham,"Hola, soy Kate, ¿qué tal tu tarde? Espero poder verte mañana un ratito, ¡pero tengo que ir al bebé! Mándame un mensaje si puedes. :) xxx",,,
ham,"Lo encontré, ENC <#>, ¿dónde estás?",,,
ham,Te envié <#> dólares,,,
ham,"Hola cariño, ya terminé la universidad, así que mándame un mensaje cuando termines si puedes. Besos, Kate xxx",,,
ham,Tu cuenta se ha recargado correctamente con INR <DECIMAL>. El saldo de tu cuenta prepago de KeralaCircle es de Rs <DECIMAL>. Tu ID de transacción es KR <#>.,,,
ham,Buenos días durmiendo ga.,,,
ham,"Me llamas a las 11, ¿vale?",,,
ham,�� decir hasta que así no compre ericsson oso no puedo oredi lar...,,,
ham,"Al entrar en mi despacho, mi asistente personal me dijo: «¡Feliz cumpleaños, jefe!». Me sentí especial. Me invitó a almorzar. Después del almuerzo, me invitó a su apartamento. Fuimos allí.",,,
ham,"Vale, tío, eso es todo, colega.",,,
ham,"Por favor, proporciónenos la conexión hoy mismo antes de <DECIMAL> o le reembolsaremos la factura.",,,
ham,"Ambos :) ¡Eyaculo grandes cantidades, así que prepárense!",,,
ham,"¿Qué tal, colega? Espero que hayas tenido unas buenas vacaciones. Que tengas un semestre muy provechoso.",,,
ham,En casa para que siempre podamos charlar.,,,
ham,K:)k:)bien:)estudia bien.,,,
ham,Sí... ¿Cómo �_ noe leh...?,,,
ham,¡Suena genial! ¿Ya estás en casa?,,,
ham,"Finalmente, el partido se encamina hacia el empate, tal como pronosticaste.",,,
ham,Cansado. No he dormido bien las últimas noches.,,,
ham,Que ah?sen le hayan seleccionado significa que es bueno.,,,
ham,Tengo que hacer el examen el 3 de marzo.,,,
ham,"Sí, deberías. Creo que ahora puedes usar tu cuenta GT para registrarte. No estoy seguro, pero si puedo ayudarte en algo, avísame. Pero cuando lo hagas, asegúrate de estar listo.",,,
ham,"Vale, no hay problema. Tómate tu tiempo.",,,
ham,Existe un sistema operativo llamado Ubuntu que se ejecuta sin necesidad de instalación en el disco duro... puedes usar ese sistema operativo para copiar los archivos importantes del sistema y llevárselos a un taller de reparación.,,,
ham,"Lo siento, llamaré más tarde.",,,
ham,"Tú dices leh... Por supuesto que no pasó nada lar. No digo que fuera muy romántico, solo un poquito lor. Creo que el paisaje nocturno no es tan bonito leh.",,,
spam,"¡500 móviles nuevos de 2004, TIENE QUE VENDERSE! Envía un SMS con la palabra NOKIA al 89545 y consigue el tuyo hoy mismo. Desde solo 1 £. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
ham,Te agradecería mucho que me llamaras. Solo necesito alguien con quien hablar.,,,
spam,"¿Conocerás pronto a la pareja de tus sueños? ¿Tu carrera profesional está despegando con fuerza? Para averiguarlo gratis, envía un mensaje de texto con la palabra HORO seguida de tu signo zodiacal, por ejemplo: HORO ARIES",,,
ham,Hola compañía elama po mudyadhu.,,,
ham,"La vida es más estricta que el maestro... Porque el maestro da la lección y luego hace el examen, pero la vida primero hace el examen y luego da la lección. Feliz mañana.",,,
ham,"Buenos días, querido, recién ahora estoy despierto.",,,
ham,"Bájese en Gandhipuram y camine hasta Cross Cut Road. A la derecha, tome la calle <#> y gire a la derecha en la primera.",,,
ham,"Querido, vamos a nuestro lugar de caucho",,,
ham,"Lo siento, se me acabó la batería, sí, estoy aquí.",,,
ham,Sí :) Aquí siempre hay televisión disponible en el lugar de trabajo.,,,
spam,"Envía un mensaje y conoce a alguien atractivo hoy mismo. Puedes encontrar una cita o incluso coquetear, tú decides. Regístrate por solo 10 peniques. Responde con tu nombre y edad, por ejemplo, Sam 25. 18 -msg recd@thirtyeightpence",,,
ham,"Lo he impreso. Oh. Entonces, sube.",,,
ham,"O estaré un poco más cerca, como en la parada de autobús de la misma calle.",,,
ham,¿Dónde estás? ¿Cuándo llegarás aquí?,,,
ham,"Nueva teoría: La discusión gana la SITUACIÓN, pero pierde a la PERSONA. Así que no discutas con tus amigos, simplemente... ¡dales una patada y diles: ""Siempre tengo razón""!",,,
spam,U 447801259231 tiene un admirador secreto que busca contactarte. Descubre quién te considera tan especial. Llama al 09058094597.,,,
ham,"Mañana audiencia final sobre mi funda de portátil, así que no puedo.",,,
ham,"POR FAVOR, DÍGANME QUE NO HE HECHO DEPORTES",,,
ham,"Vale. No, no, solo sigo brillando. Se suponía que iba a firmar, pero suena mejor así.",,,
ham,"Aunque te dije que ahora me gustan los relojes con esfera grande, me encanta el reloj que me regalaste porque es para ti. Gracias por todo lo que has hecho hoy, me conmovió...",,,
ham,¿No te acuerdas de ese viejo anuncio?,,,
ham,Demasiado tarde. Dije que tengo el sitio web. No dije que tuviera o no tuviera las pantuflas.,,,
ham,"Te pedí que lo llamaras ahora, ¿de acuerdo?",,,
ham,Kallis no bateará en la segunda entrada.,,,
ham,"No funcionó otra vez. Oh. Bueno, buenas noches entonces. Lo arreglaré y lo tendré listo para cuando te despiertes. Te extrañamos mucho. Que duermas bien.",,,
spam,"¡Felicidades! Has ganado 500 en cupones de CD o 125 en regalos garantizados y entrada gratuita al sorteo semanal de 100. Envía un mensaje de texto con la palabra MUSIC al 87066. Consulta los términos y condiciones en www.Ldew.com. Gana 150 por persona al mes, 3 años o más.",,,
ham,Ranjith cal drpd Deeraj y deepak 5 minutos de espera,,,
ham,"Cuando tu ser querido se enoja contigo, no te lo tomes en serio... Porque estar enojado es la forma más infantil y verdadera de mostrar profundo afecto, cariño y amor. ¡Que tengas un buen día!",,,
ham,¿Qué estás haciendo? ¿Cómo estás?,,,
