mensaje,etiqueta,fuente
Mañana es la junta a las 10am en la sala 3,ham,kaggle_mexico
Tu codigo de verificacion de WhatsApp es 847291,ham,kaggle_mexico
Ma ya llegue a casa cualquier cosa me marcas,ham,kaggle_mexico
Recordatorio cita dental el jueves 20 a las 4pm,ham,kaggle_mexico
Tu pedido 38291 ha sido enviado. Llega en 3-5 dias habiles,ham,kaggle_mexico
Ya viste el partido? Estuvo increible,ham,kaggle_mexico
Comprobante de pago OXXO $350 recibidos correctamente,ham,kaggle_mexico
Pasas por mi al rato o como le hacemos,ham,kaggle_mexico
El doctor dijo que todo esta bien no te preocupes,ham,kaggle_mexico
Junta cancelada para hoy la reagendamos para el lunes,ham,kaggle_mexico
Oye se me olvido decirte que el miercoles no voy a poder,ham,kaggle_mexico
Tu reservacion en el restaurante esta confirmada para las 8pm,ham,kaggle_mexico
Gracias por tu compra en Farmacias del Ahorro ticket 00234,ham,kaggle_mexico
El profe dijo que el examen es el martes no el miercoles,ham,kaggle_mexico
Ya subi las fotos al grupo de WhatsApp checalas,ham,kaggle_mexico
Nos vemos en la tarde en el mismo lugar de siempre,ham,kaggle_mexico
La tarea es del capitulo 3 al 5 para el viernes,ham,kaggle_mexico
Oye ya llegaron los de mudanzas avisame cuando puedas,ham,kaggle_mexico
Tu cita en el IMSS es el lunes 14 a las 9am en modulo 4,ham,kaggle_mexico
Banco Azteca: Su prestamo personal fue depositado exitosamente,ham,kaggle_mexico
Claro: Su recarga de $100 fue aplicada correctamente,ham,kaggle_mexico
Telcel: Su paquete de datos de 5GB fue activado con exito,ham,kaggle_mexico
Ya pague la renta te mando el comprobante por WhatsApp,ham,kaggle_mexico
El vuelo sale a las 6am no olvides llegar 2 horas antes,ham,kaggle_mexico
Confirma tu asistencia a la boda antes del 30 de noviembre,ham,kaggle_mexico
Mañana no hay clases por el dia del maestro,ham,kaggle_mexico
Tu solicitud de beca fue aprobada pasa a recoger documentos,ham,kaggle_mexico
El gas ya llego te dejo el recibo en la mesa,ham,kaggle_mexico
Aviso vecinos: mantenimiento de elevador el sabado de 9 a 12,ham,kaggle_mexico
Recupera tu cuenta bancaria bloqueada: bit.ly/recupera-cuenta,spam,kaggle_mexico
IMSS informa: tienes una incapacidad pendiente de cobro. Ingresa: imss-cobro.com,spam,kaggle_mexico
Aviso Banorte: se ha realizado un cargo de $8500. Cancelalo: bit.ly/banorte-cargo,spam,kaggle_mexico
Has sido seleccionado para recibir apoyo gobierno $4500. Registrate: apoyos-mx.com,spam,kaggle_mexico
Tu cuenta BBVA tiene un beneficio especial. Activalo: bit.ly/bbva-beneficio,spam,kaggle_mexico
Alerta Citibanamex: acceso desde dispositivo desconocido. Verifica: citi-mx.com,spam,kaggle_mexico
Gana dinero desde casa facil y rapido. Registrate gratis: gana-mx.net,spam,kaggle_mexico
Urgente: su seguro de vida vence hoy. Renovelo: seguros-mx.com/renovar,spam,kaggle_mexico
PEMEX: tiene un bono de empleado pendiente. Reclame: pemex-bonos.com,spam,kaggle_mexico
Telcel le regala 10GB por su lealtad. Active: telcel-regalo.net,spam,kaggle_mexico
Your Discord security code is: 127769,ham,kaggle_mexico
Your Discord security code is: 839201,ham,kaggle_mexico
Steam: Use code H3TB4 to change credentials for your account,ham,kaggle_mexico
Steam: Use code 5C3MN to change credentials for your account,ham,kaggle_mexico
Steam: Use code XBMVV to change credentials for your account,ham,kaggle_mexico
Use verification code 982302 for Microsoft authentication.,ham,kaggle_mexico
Use verification code 112233 for Microsoft authentication.,ham,kaggle_mexico
Su código es: 94400. Gracias.,ham,kaggle_mexico
Su código es: 12085. Gracias.,ham,kaggle_mexico
El código de verificación de la cuenta Microsoft es 747063.,ham,kaggle_mexico
G-066144: código de verificación de Google. No lo compartas.,ham,kaggle_mexico
G-998877: código de verificación de Google. No lo compartas.,ham,kaggle_mexico
Su codigo de verificacion para Claude es: 251387,ham,kaggle_mexico
Tu codigo de seguridad de Instagram es 382910. No lo compartas.,ham,kaggle_mexico
Your Uber code is 3829. Never share this code.,ham,kaggle_mexico
Su visa americana fue aprobada. Pague tramite: visa-mx.com/pago,spam,kaggle_mexico
Banco Azteca: su prestamo de $20000 fue aprobado. Active: bit.ly/azteca-prestamo,spam,kaggle_mexico
Detectamos que usted es ganador de iPhone 15. Reclame: bit.ly/iphone-mx,spam,kaggle_mexico
FOVISSSTE: su credito hipotecario fue autorizado. Ingrese: fovissste-credito.com,spam,kaggle_mexico
Consar: su ahorro para el retiro tiene rendimientos. Retire: consar-retiro.net,spam,kaggle_mexico
Su numero fue premiado por Bodega Aurrera. Reclame $5000: bit.ly/aurrera-premio,spam,kaggle_mexico
Aviso IMSS: su NSS tiene un error. Corrijalo antes del viernes: imss-nss.com,spam,kaggle_mexico
CFE informa corte de luz programado. Evitelo pagando: cfe-evita-corte.com,spam,kaggle_mexico
Recibe $500 pesos por contestar esta encuesta: encuesta-pagada-mx.com,spam,kaggle_mexico
Migracion CURP: su documento tiene inconsistencias. Corrija: curp-mx.net,spam,kaggle_mexico
Tu solicitud de empleo fue aceptada. Deposita fianza de $1500: empleo-mx.com,spam,kaggle_mexico
Alerta: su RFC fue utilizado para declaracion falsa. Verifique: rfc-alerta.com,spam,kaggle_mexico
BECA BENITO JUAREZ: deposito pendiente. Actualiza datos: beca-juarez-mx.com,spam,kaggle_mexico
Has ganado un viaje a Cancun todo incluido. Reclama: viaje-premio-mx.com,spam,kaggle_mexico
Notificacion judicial pendiente a su nombre. Consulte: juicio-mx.com,spam,kaggle_mexico
Oye te presto el apunte del lunes si quieres,ham,kaggle_mexico
Buen dia recuerda traer tu credencial mañana para el tramite,ham,kaggle_mexico
El super ya esta listo paso por ti en 10 minutos,ham,kaggle_mexico
Confirma tu cita de mañana respondiendo SI o NO,ham,kaggle_mexico
Tu transferencia de $500 fue recibida gracias,ham,kaggle_mexico
La señora de la limpieza no va a poder venir el sabado,ham,kaggle_mexico
Aviso importante: el agua se va a cortar mañana de 8 a 12,ham,kaggle_mexico
Mañana es el ultimo dia para pagar la colegiatura,ham,kaggle_mexico
Ya sali del trabajo llego como en media hora,ham,kaggle_mexico
Feliz cumpleaños! Que la pases muy bien el dia de hoy,ham,kaggle_mexico
Tu hijo llego bien a la escuela ya esta en salon,ham,kaggle_mexico
El pedido de pizza ya va en camino llega en 20 minutos,ham,kaggle_mexico
Recuerda que mañana es dia feriado no hay clases,ham,kaggle_mexico
Ya quedo arreglado el coche pasa por el cuando puedas,ham,kaggle_mexico
Tu contrato de arrendamiento vence el proximo mes avisanos,ham,kaggle_mexico
Se busca roomie departamento 2 recamaras zona Condesa,ham,kaggle_mexico
El grupo de estudio se reune el domingo a las 4pm,ham,kaggle_mexico
Gracias por venir hoy fue un placer atenderte,ham,kaggle_mexico
Tu numero de folio es 847392 guardalo para cualquier aclaracion,ham,kaggle_mexico
Mañana llevamos pastel para el cumple de la maestra,ham,kaggle_mexico
Ya llego el estado de cuenta al correo checalo cuando puedas,ham,kaggle_mexico
El partido de futbol es el sabado a las 11am cancha 3,ham,kaggle_mexico
Tu solicitud de vacaciones fue aprobada del 15 al 22,ham,kaggle_mexico
Aviso condominio: asamblea extraordinaria el jueves 8pm salon,ham,kaggle_mexico
La feria del libro es este fin de semana entrada libre,ham,kaggle_mexico
Santander: su cuenta presenta movimientos inusuales. Verifique: bit.ly/san-mx,spam,kaggle_mexico
INEGI: usted fue seleccionado para encuesta con pago de $800. Registrese: inegi-pago.com,spam,kaggle_mexico
Su telefono tiene un virus. Eliminelo descargando: limpia-virus-mx.com,spam,kaggle_mexico
Ganador sorteo Cruz Roja: $30000 pesos. Confirme datos: cruz-roja-sorteo.com,spam,kaggle_mexico
AFORE SURA: su cuenta tiene rendimientos no reclamados. Retire: sura-retiro.net,spam,kaggle_mexico
Alerta Mercado Libre: su cuenta fue hackeada. Verifique: bit.ly/ml-alerta,spam,kaggle_mexico
Reciba $3000 semanales trabajando desde casa. Informes: trabajo-casa-mx.com,spam,kaggle_mexico
Su licencia de conducir esta por vencer. Renovela: licencia-mx.net/renovar,spam,kaggle_mexico
ISSSTE: beneficio medico especial disponible. Solicite: issste-beneficio.com,spam,kaggle_mexico
Compartamos Banco: prestamo inmediato aprobado. Active: bit.ly/compartamos,spam,kaggle_mexico
Notificacion IMSS: su clinica fue reasignada. Confirme: imss-reasignacion.com,spam,kaggle_mexico
Recarga tu Tarjeta de Transporte y recibe 50 pesos extra: transporte-mx.net,spam,kaggle_mexico
Tu cuenta de Netflix fue accedida desde otro pais. Asegura: bit.ly/nflx-mx,spam,kaggle_mexico
BBVA Bancomer: su chequera digital expira hoy. Renueve: bit.ly/chequera,spam,kaggle_mexico
Premio especial Walmart: $10000 en compras. Reclame: walmart-premio-mx.com,spam,kaggle_mexico
Oye se te olvido tu chamarra en mi casa te la guardo,ham,kaggle_mexico
El medico dijo que los resultados salen en 3 dias,ham,kaggle_mexico
Pasas a recoger a los niños o los llevo yo hoy,ham,kaggle_mexico
Buenas noches que descanses hasta mañana,ham,kaggle_mexico
La clase de mañana se cambia al salon 204 segundo piso,ham,kaggle_mexico
Acaba de llegar paqueteria para ti esta en la recepcion,ham,kaggle_mexico
Te llame pero no contestaste marcame cuando puedas,ham,kaggle_mexico
El wifi de la oficina se cae seguido reportalo con sistemas,ham,kaggle_mexico
Ya regrese del viaje todo bien gracias por preguntar,ham,kaggle_mexico
Recuerda traer los documentos que te pedi para el tramite,ham,kaggle_mexico
Este fin de semana hay tianguis en el parque entrada libre,ham,kaggle_mexico
Tu cita para revision de lentes es el martes a las 5pm,ham,kaggle_mexico
El profe subio las calificaciones ya puedes consultarlas,ham,kaggle_mexico
Mañana es la presentacion del proyecto preparate bien,ham,kaggle_mexico
Se cancela la practica de hoy por la lluvia avisale a todos,ham,kaggle_mexico
Ya deposite la quincena checas tu cuenta por favor,ham,kaggle_mexico
La reunion de padres de familia es el viernes a las 6pm,ham,kaggle_mexico
Hoy llega tu hermano al aeropuerto a las 9pm no olvides,ham,kaggle_mexico
Tu seguro de auto se renueva automaticamente el dia 15,ham,kaggle_mexico
El plomero dice que tarda una hora mas en terminar,ham,kaggle_mexico
La farmacia ya tiene tu medicamento apartado pasa hoy,ham,kaggle_mexico
Aviso escuela: semana de examenes del 20 al 24 de enero,ham,kaggle_mexico
Ya se subio el horario del proximo semestre checalo,ham,kaggle_mexico
Tu cita para pasaporte es el miercoles 10am edificio A,ham,kaggle_mexico
Llegaron los muebles que pediste los subo en un momento,ham,kaggle_mexico
Alerta HSBC: su tarjeta fue clonada. Bloquéela: bit.ly/hsbc-bloqueo,spam,kaggle_mexico
Sepomex: su paquete tiene adeudo aduanal de $450. Pague: bit.ly/sepomex-adeudo,spam,kaggle_mexico
Banamex: su cuenta sera cancelada en 24hrs. Evitelo: banamex-urgente.com,spam,kaggle_mexico
Gane hasta $15000 mensuales invirtiendo en criptomonedas: cripto-mx.net,spam,kaggle_mexico
Su numero fue seleccionado por Soriana para premio mayor: bit.ly/soriana-gana,spam,kaggle_mexico
IMSS: su pension por invalidez fue aprobada. Reclame: imss-pension.net,spam,kaggle_mexico
Alerta Telcel: consumio el 100% de sus datos. Recargue: bit.ly/telcel-recarga,spam,kaggle_mexico
Su credito en Coppel tiene una promocion exclusiva hoy: coppel-promo.com,spam,kaggle_mexico
Gobierno Mexico: subsidio de luz disponible para su domicilio: bit.ly/subsidio-cfe,spam,kaggle_mexico
SAT: su empresa tiene una auditoria pendiente. Atiendala: sat-auditoria.com,spam,kaggle_mexico
BANJERCITO: tiene un vehiculo retenido a su nombre. Libérelo: bit.ly/banjercito,spam,kaggle_mexico
Oferta exclusiva: seguro de vida desde $99 pesos al mes: seguros-baratos-mx.com,spam,kaggle_mexico
Tu cuenta de Spotify fue suspendida. Reactívela: bit.ly/spotify-mx,spam,kaggle_mexico
CONAGUA: su medidor de agua tiene adeudo. Regularice: conagua-adeudo.com,spam,kaggle_mexico
Premio OXXO: su ticket fue ganador de $5000. Reclame: oxxo-ganador.com,spam,kaggle_mexico
Inversion segura con rendimientos del 30% mensual: invierte-seguro-mx.com,spam,kaggle_mexico
Verificacion pendiente en su cuenta de Amazon Mexico: bit.ly/amazon-verifica,spam,kaggle_mexico
IMSS: su expediente medico tiene una actualizacion urgente: imss-expediente.net,spam,kaggle_mexico
Su tarjeta de debito BBVA tiene un cargo no reconocido de $2300: bit.ly/bbva-cargo,spam,kaggle_mexico
Notificacion: su domicilio tiene una deuda predial pendiente: predial-mx.com,spam,kaggle_mexico
Banco Azteca le otorga credito de $50000 sin buro. Active: bit.ly/azteca-credito,spam,kaggle_mexico
Su numero gano en la rifa del Teletón. Confirme: bit.ly/teletonrifa,spam,kaggle_mexico
"Tu pedido #MX4827163 de Liverpool ha sido confirmado. Total: $1,249. Lo recibirás el 25 de abril.",ham,kaggle_mexico
Gracias por tu compra en Zara. Pedido Z-00293847 procesado. Te avisaremos cuando salga a repartir.,ham,kaggle_mexico
OXXO PAY: Recibimos tu pago de $350 para Netflix. Folio 8827364. Guarda este comprobante.,ham,kaggle_mexico
Confirmamos tu orden #48271 en Mercado Libre. El vendedor tiene 2 días para enviarlo.,ham,kaggle_mexico
Tu reserva en CINÉPOLIS para el 22 abril a las 7:30pm está confirmada. Folio 2938471. Muestra este SMS.,ham,kaggle_mexico
Pedido #GDL-9283 confirmado en Amazon.com.mx. Estimado de entrega: 23-25 de abril.,ham,kaggle_mexico
Farmacias del Ahorro: Tu pedido 00293 está listo para recoger en Sucursal Insurgentes. Vigencia 48hrs.,ham,kaggle_mexico
Walmart: Tu orden #WM827364 fue pagada exitosamente. Entrega programada para mañana 10am-2pm.,ham,kaggle_mexico
Shein: Pedido S-MX00293847 confirmado. Procesaremos tu envío en 3-5 días hábiles.,ham,kaggle_mexico
"IKEA México: Tu pedido #IK293847 está en camino. Entrega estimada 26 de abril, rango 9am-1pm.",ham,kaggle_mexico
"Tu paquete de Amazon #112-9283741 fue entregado hoy a las 2:34pm. Si no lo recibiste, visita amazon.com.mx/ayuda",ham,kaggle_mexico
Estafeta: Tu paquete 1Z9283747 está en ruta. Entrega estimada hoy antes de las 9pm.,ham,kaggle_mexico
DHL México: Tu envío 9283746182 fue recogido por el destinatario. Gracias por usar DHL.,ham,kaggle_mexico
FedEx: Tu paquete 7489203847 llegó a la sucursal Guadalajara Norte. Recógelo con ID oficial.,ham,kaggle_mexico
Mercado Envíos: Tu compra #MX-8827361 fue despachada. Número de rastreo: ME928374615.,ham,kaggle_mexico
Tu pedido de Rappi #RP-00293 salió del restaurante. Llegará en aproximadamente 25 minutos.,ham,kaggle_mexico
"DiDi Food: Tu orden está en camino. Repartidor: Carlos, califica tu experiencia al recibir.",ham,kaggle_mexico
Cornershop: Tu pedido #CS-9283 fue empacado y está en camino. Llegará en 15-20 minutos.,ham,kaggle_mexico
Liverpool: Tu pedido #LP-293847 salió de nuestro centro de distribución. Rastreo: liverpool.com.mx/rastreo,ham,kaggle_mexico
ZARA: Tu paquete #ZA00293847 fue entregado en tu domicilio el 21 de abril a las 3:15pm.,ham,kaggle_mexico
"Ópticas Devlyn: ANGEL, tus lentes están listos. Pasa a recogerlos a Sucursal Centro. Factura 293847.",ham,kaggle_mexico
Coppel Óptica: Tus lentes graduados ya están disponibles. Presenta tu ticket 7857064489 en tienda.,ham,kaggle_mexico
"Sears Óptica: Hola LUIS, tus armazones con graduación están listos en sucursal Perisur. Folio 48291.",ham,kaggle_mexico
Ópticas Lux: Tus lentes de contacto pedido #OL-2938 llegaron a tienda. Trae tu receta médica al recoger.,ham,kaggle_mexico
"General Óptica: Tu pedido de lentes #GO-38291 está listo. Sucursal Insurgentes, L-S 10am-8pm.",ham,kaggle_mexico
"BBVA: Tu transferencia de $2,500 a JUAN GARCIA fue procesada. Folio 9283746. Consulta en app.",ham,kaggle_mexico
"Banorte: Compra aprobada $349 en UBER EATS el 21/04 a las 8:23pm. Saldo disponible: $4,821.",ham,kaggle_mexico
"Nu México: Tu tarjeta terminación 4892 fue usada por $1,200 en LIVERPOOL el 21/04/2026.",ham,kaggle_mexico
HSBC: Tu domiciliación de $699 para Spotify fue procesada. Próximo cargo: 21 de mayo.,ham,kaggle_mexico
Clip: Recibiste un pago de $350 de MARIA LOPEZ. Ya está disponible en tu cuenta Clip.,ham,kaggle_mexico
"IMSS: Recordatorio cita médica Dr. Ramírez, 23 de abril 10:30am, UMF 47. Llega 15 min antes.",ham,kaggle_mexico
Hospital Ángeles: Tu cita con Dr. García el 25/04 a las 11am está confirmada. Trae estudios previos.,ham,kaggle_mexico
Laboratorio Médico: Tus resultados de análisis #LM-293847 están listos. Recógelos en recepción.,ham,kaggle_mexico
Dentalia: Recordatorio: cita con Dr. Hernández mañana jueves 24 de abril a las 5pm. Sucursal Polanco.,ham,kaggle_mexico
Farmacia Benavides: Tu pedido de medicamentos #FB-9283 está listo para recoger. Vigencia 24hrs.,ham,kaggle_mexico
Uber: Tu viaje del 21 de abril de Insurgentes a Aeropuerto CDMX costó $287. Califica a tu conductor.,ham,kaggle_mexico
"Airbnb: Confirmación de reserva en Guadalajara, 3-5 mayo. Folio AIR-MX-293847. Check-in 3pm.",ham,kaggle_mexico
VivaAerobus: Tu vuelo VB-291 GDL-MTY el 30 de abril está confirmado. Asiento 14A. Check-in abre 24hrs antes.,ham,kaggle_mexico
Aeromexico: Boarding pass listo para AM-492 CDMX-CUN 25 abril. Descárgalo en aeromexico.com/checkin,ham,kaggle_mexico
Telcel: Tu recarga de $100 fue aplicada exitosamente. Saldo actual: $108.50. Vigencia 30 días.,ham,kaggle_mexico
Telcel: Activa hoy tu paquete Amigo Sin Límite 80 y navega sin parar. Llama al *133# ahora.,spam,kaggle_mexico
OXXO: Esta semana 2x1 en todas las bebidas energéticas. Solo en tiendas participantes.,spam,kaggle_mexico
Liverpool: Cyber Monday llegó antes! 30% en electrónica solo hoy. Entra a liverpool.com.mx,spam,kaggle_mexico
Coppel: Estrena esta temporada con 20% de descuento en ropa de dama. Solo por hoy.,spam,kaggle_mexico
Telcel: Renueva tu equipo con 0% de intereses. Nuevos modelos iPhone y Samsung disponibles.,spam,kaggle_mexico
Soriana: Martes de frescura: pollo a $49/kg y jitomate a $19/kg. Solo en tiendas físicas.,spam,kaggle_mexico
Cinépolis: Este fin de semana 2x1 en boletos para cualquier función. Usa código CINE2X1.,spam,kaggle_mexico
MercadoLibre: Ofertas del día solo para ti: hasta 60% en electrónica. Entra antes que se agoten.,spam,kaggle_mexico
Spotify: Regresa a Premium por solo $29 el primer mes. Oferta exclusiva por tiempo limitado.,spam,kaggle_mexico
Amazon: Como cliente frecuente tienes acceso anticipado a nuestras ofertas de primavera.,spam,kaggle_mexico
BBVA: Detectamos acceso no autorizado. Verifica tu cuenta urgente: bit.ly/bbva-seguro-mx,spam,kaggle_mexico
"SAT México: Tiene un reembolso pendiente de $3,200. Reclámelo antes del 30 de abril: sat-reembolso.net",spam,kaggle_mexico
Tus puntos Tetcel (3.237) vencen hoy. Canjéalos antes que caduquen: ln.run/WBPgr,spam,kaggle_mexico
BANORTE: Su tarjeta fue suspendida por actividad inusual. Reactívela en: banorte-seguro.com,spam,kaggle_mexico
"Ganaste un premio de $15,000 pesos en el sorteo Telcel. Reclama llamando al 800-555-2938.",spam,kaggle_mexico
IMSS: Su número de afiliación será cancelado. Actualice sus datos: imss-afiliacion.mx,spam,kaggle_mexico
Correos México: Su paquete no pudo entregarse. Reprograme en: correos-mx.net/reprogramar,spam,kaggle_mexico
CFE: Adeudo detectado en su cuenta. Evite corte de luz pagando en: cfe-pagos.com/urgente,spam,kaggle_mexico
Steam: Usa el código VW54C para cambiar las credenciales de tu cuenta.,spam,kaggle_mexico
[TecIe] Sus 9688 psuntos vencen el 21 enero. Canjéelos: https://bit.ly/3NDDX3A,spam,kaggle_mexico
"Hola! Te ofrezco clases de inglés en línea, grupos pequeños, precio especial este mes. ¿Te interesa?",spam,kaggle_mexico
"Buenos días! Tenemos tamales de rajas, verdes y dulces. Pedidos al WhatsApp 5591234567.",spam,kaggle_mexico
Has escuchado de las nuevas cartas de amor invisibles en Mercado Libre? Las tengo a mejor precio.,spam,kaggle_mexico
"Hola, vendo ropa de marca a mitad de precio, todo nuevo con etiqueta. Mándame mensaje si gustas.",spam,kaggle_mexico
"Buenas tardes, ofrezco servicio de limpieza de hogar, precios accesibles, referencias disponibles.",spam,kaggle_mexico
"Soy distribuidora independiente de Herbalife, ¿te gustaría saber más sobre nuestros productos?",spam,kaggle_mexico
Hola! Inversión segura con rendimientos del 20% mensual. Solo 10 lugares disponibles. Escríbeme.,spam,kaggle_mexico
Tengo boletos para el concierto de Peso Pluma a mitad de precio. Son originales. ¿Te interesan?,spam,kaggle_mexico
"Buen día, ofrezco préstamos personales sin buró de crédito. Depósito en 24hrs. ¿Necesitas?",spam,kaggle_mexico
Hola! Gana dinero desde casa vendiendo productos naturales. Sin inversión inicial. ¿Te cuento?,spam,kaggle_mexico
MasVision: Aprovecha 50% en armazones esta semana. Terminos: mvm.news/abc123,spam,kaggle_mexico
BAurrera: Solo hoy envio sin costo a partir de $99. Entra: acs1.tc/promo,spam,kaggle_mexico
"Telcel: Mantente conectado, compra un paquete nuevo desde aqui: pay.telcel.com/dp1",spam,kaggle_mexico
Elektra: Lleva hoy tu nueva pantalla 55 pulgadas con 18 meses sin intereses. Solo en tienda.,spam,kaggle_mexico
"Bodega Aurrera: Feria del ahorro esta semana, hasta 40% en abarrotes seleccionados.",spam,kaggle_mexico
HSBC: Tienes puntos por vencer. Canjéalos antes del 30 de abril en hsbc.com.mx/puntos,spam,kaggle_mexico
"Hola soy Karla, asesora de seguros. ¿Te interesa cotizar un seguro de vida? Sin compromiso.",spam,kaggle_mexico
Buenas! Vendo miel de abeja pura directo del productor. Kilo a $120. ¿Te mando más info?,spam,kaggle_mexico
Rappi: Esta semana 30% de descuento en tu primera orden de farmacia. Código: FARMA30,spam,kaggle_mexico
DiDi: Tienes un cupón de $50 esperándote. Úsalo en tu próximo viaje antes del domingo.,spam,kaggle_mexico
Urgente: su CURP fue utilizada para tramite ilegal. Verifique: curp-urgente.com,spam,kaggle_mexico
Movistar: su linea sera suspendida por falta de pago: bit.ly/movistar-pago,spam,kaggle_mexico
AT&T: tiene facturas pendientes. Evite suspension: att-mx-pagos.com,spam,kaggle_mexico
Hola buen dia como te fue en el examen de ayer,ham,kaggle_mexico
Ya pague el predial guardo el comprobante por si acaso,ham,kaggle_mexico
La vecina dice que mañana hay corte de agua todo el dia,ham,kaggle_mexico
Oye me prestas tus apuntes de calculo para el fin de semana,ham,kaggle_mexico
Tu inscripcion al taller de cocina esta confirmada el sabado,ham,kaggle_mexico
El niño ya se tomo el medicamento y esta mejor gracias,ham,kaggle_mexico
Mañana es el dia del maestro no olvides el detalle,ham,kaggle_mexico
Ya llego el técnico a revisar el internet tarda como una hora,ham,kaggle_mexico
Los gatos ronronean a una frecuencia que podría curar las enfermedades de los huesos,ham,kaggle_mexico
Sabías que los pulpos tienen tres corazones y su sangre es de color azul?,ham,kaggle_mexico
Dato curioso: Las abejas pueden reconocer rostros humanos.,ham,kaggle_mexico
Oye acabo de leer que el agua caliente se congela más rápido que la fría. Qué loco!,ham,kaggle_mexico
El aguacate es una fruta no una verdura. Te lo juro lo acabo de buscar.,ham,kaggle_mexico
¿Sabías que un día en Venus es más largo que un año en Venus?,ham,kaggle_mexico
Te paso un dato inútil: los osos polares son zurdos.,ham,kaggle_mexico
El cerebro humano genera suficiente electricidad para encender un foco pequeño.,ham,kaggle_mexico
Dicen que comer chocolate negro ayuda a mejorar la memoria y prevenir enfermedades.,ham,kaggle_mexico
Dato del día: las manzanas te despiertan más por la mañana que una taza de café.,ham,kaggle_mexico
Las vacas tienen mejores amigas y se estresan mucho si las separan.,ham,kaggle_mexico
Me acabo de enterar que las pirámides de Egipto se construyeron cuando aún había mamuts.,ham,kaggle_mexico
El corazón de un camarón está en su cabeza. ¡Increíble!,ham,kaggle_mexico
Sabías que los delfines se ponen nombres entre ellos mediante silbidos únicos?,ham,kaggle_mexico
Te imaginas? Si pudieras conducir tu auto hacia arriba llegarías al espacio en una hora.,ham,kaggle_mexico
Dicen que reír por 10 minutos al día fortalece el sistema inmunológico.,ham,kaggle_mexico
Oye leí un artículo sobre cómo los perros pueden detectar bajones de azúcar en la sangre.,ham,kaggle_mexico
Sabías que las medusas no tienen cerebro ni corazón?,ham,kaggle_mexico
Un dato que te va a volar la cabeza: hay más estrellas en el universo que granos de arena en la Tierra.,ham,kaggle_mexico
Los perezosos pueden aguantar la respiración bajo el agua más tiempo que los delfines.,ham,kaggle_mexico
Recuerda que el lunes es dia feriado no hay transporte,ham,kaggle_mexico
